name,tags,website,namephno,add
"ACC Technical Services, Inc.","Website Development, Computers-Service Repair..., Computer Data Protection..., Computer Networks, Computers-Consultants, Computers-Software & S..., Information Technology, Cyber Security, Web Marketing",www.acctek.com,Mr. Paul White - (315) 484-4500,106 Dwight Park Cir.
Visual Technologies Corp.,"Computers-Leasing & Re..., Audio-Visual Equipment..., Video Conferences, Conference Services &..., Video Production Services, Event Planners",www.visualtec.com,Mr. David  J. Foor - (315) 423-2000,1620 Burnet Ave.
"ABC Creative Group, LLC",Advertising Agencies,www.abcideabased.com,Mr. Travis Bort - (315) 471-1002,"235 Walton St., Ste. 201"
ACS Web Design and SEO,"Website Development, Internet Consulting, Computers-Software & S..., Web Marketing, Advertising Agencies, Cyber Security",www.acs-web.com,Mr. John Wilson - (315) 451-5405,7453 Morgan Rd.
Advance Media New York,"Newspapers, Advertising Agencies, Marketing Consultants",www.advancemediany.com,Mr. Tim Kennedy - (315) 470-0032,220 S. Warren St.
All Times Publishing dba Family Times ,"Newspapers, Magazines, Marketing Communications",www.syracusenewtimes.com,Mr. William  C. Brod - (315) 422-7011,1415 W. Genesee St.
ANSUN Graphics,"Printers, Mailing Services, Graphic Design",www.ansun.biz,Mr. Jared M. Massett - (315) 437-6869,6392 Deere Rd.
Avalon,"Copying & Duplicating..., Printers, Cyber Security",www.teamavalon.com,Mr. Shawn Thrall - (315) 471-3333,901 N. State St.
"B2B Printing, Inc.",Printers,www.b2bprinting.net,Mr. Ron Spoto - (315) 469-2906,4611 S. Salina St.
Brochures Unlimited,Advertising,www.brochuresunlimited.com,Mr. Tom Reiter - (585) 392-5753,340 Parma-Center Rd.
Business Journal News Network,"Advertising, Newspapers",www.cnybj.com,Ms. Marny Nesher - (315) 579-3925,211 W. Jefferson St.
"CADimensions, Inc.","3D Printing Systems, 3D Mechanical Design Softw...",www.cadimensions.com,Mr. Peter J. DiLaura - (315) 434-9787,6310 Fly Rd.
Cintas Corporation,"Uniforms Rental, Mats & Matting, Promotional Products, Janitorial Supplies",www.cintas.com,Mr. Dan Colantuoni - (315) 432-1888,7655 Henry Clay Blvd.
CladNetwork,"Advertising, Advertising Outdoor, Interactive Media",www.cladnetwork.com,Mr. Frank Thomson - (607) 216-6127,60 Tompkins St.
Clipper Magazine/Home & Decor Ideas,Advertising Direct Mail,www.clippermagazine.com,Ms. Jodi  L. Salamida - (315) 374-3779,8401 Anglers Club
"Cooley Group, Inc.","Promotional Products, Marketing Consultants",www.cooleybrand.com,Ms. Karie L. Ballway - (315) 432-1029,6700 Kirkville Rd.
Cowley Associates,Advertising Agencies,www.cowleyweb.com,Ms. Gail Cowley - (315) 475-8453,407 S. Warren St.
"Custom Logo, Inc.",Screen Printing,www.customlogousa.com,Mr. Matt Cordell - (315) 638-0084,7152 State Fair Blvd.
Custom Works,Promotional Products,www.customworksamerica.com,Mr. Robert H. Stewart Jr. - (315) 863-1407,1822 Court St.
"Dellas Graphics, Inc.",Printers,www.dellasgraphics.com,Mr. Thomas Dellas - (315) 474-4641,"344 S. Warren St., Ste. 201"
Downtown Digital Group; A division of Johnson Newspaper Corporation,Advertising,www.downtowndigitalgroup.com,Ms. Jody Frawley - (315) 251-1819,260 Washington St.
Dupli Envelope & Graphics/PCI,"Envelopes Plain & Prin..., Printers, Promotional Products",www.duplionline.com,"Mr. J. Kemper Matt, Jr. - (315) 234-7241",6761 Thompson Rd. N.
East Coast Tags,Advertising Specialties,www.eastcoasttags.com,Ms. Michelle Grecni - (315) 396-0222,4020 New Court Ave.
Eastwood Litho,"Printers, Digital Printing & Ima..., Promotional Products",www.eastwoodlitho.com,Mr. Christian Cox - (315) 437-2626,216 Burnet Ave.
Hansen QP,Printers,www.hansenqp.com,Mr. Michael Hansen - (315) 478-0108,45 Lewis St.
IDEA KRAFT,"Website Development, Advertising Agencies",www.idea-kraft.com,Mrs. Ewelina Zajac-Holdrege - (607) 235-5855,245 Commerce Blvd.
"IMS, Inc.","Mailing Services, Advertising Direct Mail, Digital Printing & Ima...",www.imsdirect.com,"Mr. John Mashia, Jr. - (315) 437-4189",4682 Crossroads Park Dr.
Integrated Marketing,Advertising Agencies,www.intmarkserv.com,Mr. Michael Barker - (315) 433-1190,508 Mitchell Ave.
"Landmark Graphics NY, Inc.",Advertising Specialties,www.landmarkgraphicsinc.espwebsite.com,Ms. Mary Beth Rein - (315) 454-0408,6761 Thompson Rd. N.
Lettergraphics,Printers,www.lettergraphics.net,Ms. Nancy  R. Osborn - (315) 234-7214,PO Box 276
"Local News, Inc. dba Oswego County Business Magazine",Magazines,www.oswegocountybusiness.com,Mr. Wagner Dotto - (315) 342-8020,5010 Falling Leaf Tr.
MBG Partners,Advertising Agencies,www.mediamarcon.com,Mr. Bill Gowan - (315) 458-4098,PO Box 156
"MediaMarCon, Ltd.",Advertising Agencies,www.mooneymarketinggroup.com,Ms. Suzi Harriff - (315) 415-9644,"528 Plum St., Ste. 200"
Mooney Marketing Group,Advertising Agencies,www.mower.com,Mr. Patrick Mooney - (315) 373-0281,"211 W. Jefferson St., Ste. 1"
Mower,"Interactive Media, Public Relations, Advertising Agencies",www.parkoutdoor.com,Ms. Stephanie Crockett - (315) 466-1000,700 Hartwell Ave.
Park Outdoor Advertising,Advertising Outdoor,www.pinckneyhugo.com,Mr. Bill Dugan - (315) 463-2099,760 W. Genesee St.
Pinckney Hugo Group,Advertising Agencies,www.pjgreen.com,Mr. Douglas Pinckney - (315) 478-6700,"24 Corporate Cir., Ste. 2"
"PJ Green, Inc.","Printers, Mailing Services",www.postnet.com/ny135,Ms. Lisa Darling - (315) 463-0690,2363 James St.
PostNet,Printers,www.logosandimagesanywhere.com,Mrs. Shelly Whyland - (315) 218-6223,335 Hinds Hall
Robin Pinkiert's Logos & Images Anywhere,Advertising Specialties,www.sidearmsports.com,Ms. Robin Pinkiert - (315) 474-2809,8369 Seneca Tnpk.
SIDEARM Sports,"Mobile Apps, Website Development",www.site-seeker.com,Mr. Jeffrey Rubin - (315) 443-1872,The Tech Garden
"Site-Seeker, Inc.",Web Marketing,www.solonquinnstudios.com,Mrs. Jessica Amidon - (315) 732-9281,815 Erie Blvd. E.
Solon Quinn Studios,"Advertising, Video Production Services",www.spectrumreach.com,Mr. Benjamin Schechter - (315) 420-4032,1415 W. Genesee St.
Spectrum Reach®,"Advertising, Marketing & Sales",www.spinnakercustom.com,Mr. Jim Tollar - (315) 634-6425,3 Chevy Dr.
Spinnaker Custom Products,Promotional Products,www.staples.com,Ms. Lisette Brod - (315) 431-2787,Stevedore Lofts
"Staples, Inc.","Office Supplies, Printers",www.steponecreative.com,Ms. Janelle A. Carter - (315) 463-8040,219 S. West St.
Step One Creative,Advertising Agencies,www.subcat.net,Mr. Shane Stepien - (315) 342-2554,825 E. Genesee St.
SubCat Studios LLC,"Advertising Agencies, Video Production Services",www.syracuseblueprint.com,Mr. Ron Keck - (315) 478-0684,240 E. Onondaga St.
"Syracuse Blue Print Co., Inc.",Printers,www.thecatholicsun.com,Mr. Carl Nye - (315) 476-4084,The Tech Garden
Syracuse Catholic Press Association - The Catholic Sun,Newspapers,www.syracusedesign.com,Ms. Katherine Long - (315) 422-8153,"800 Nottingham Rd., Ste. 204"
"Syracuse Design Group, LLC","Website Development, Web Marketing",http://www.imgcollege.com/our-properties/colleges-universities/syracuse,Mr. Frank Smith - (315) 263-8707 ,220 S. Warren St.
Syracuse IMG Sports Marketing,Marketing & Sales,www.syracusemediagroup.com,Mr. Joe Baldini - (315) 445-2500,6333 Daedalus Dr.
syracuse.com,Advertising,www.theimagepress.com,Ms. Michele Sardinia - (315) 251-1831,4465 E. Genesee St.
The Image Press,Printers,www.theupsstorelocal.com/0684,Mr. Christopher Arnone - (315) 699-7109,201 W. Genesee St.
The UPS Store Dewitt,Printers,www.theupsstorelocal.com/0764,Mr. Kevin Fallis - (315) 445-1515,118 Julian Pl.
The UPS Store Fayetteville,Printers,www.theupsstorelocal.com/2285,Mr. Kevin Fallis - (315) 637-1515,PO Box 548
The UPS Store Nottingham,Printers,www.typepartners.com,Mr. Kevin Fallis - (315) 445-0455,433 W. Onondaga St.
"TYPE Partners, Inc.",Graphic Design,www.upstateprinting.com,Ms. JoAnne Sgambati - (315) 437-6159,The Tech Garden
"Upstate Printing, Inc.",Printers,www.getvermeer.com,Ms. Patti Vinciguerra - (315) 475-6140,415 W. Fayette St.
Vermeer,Mobile Apps,www.wcny.org,Mr. Brian Streem - (201) 317-8784,936 N. Clinton St.
