name,NAME,PHONE NO.,tags,website,add
Altius Aviation LLC,Mr. Vaughn J. Crawford , (315) 455-7555,Aircraft Charter Broker,www.flyaltius.com,113 Tuskegee Rd.
Audi Cicero,Mr. Terry Brennen , (315) 233-5387,Automobile Dealers,www.driversvillage.com,5885 E. Circle Dr.
Big Red Towing,Mr. Ron Pullen , (315) 413-0911,Towing,www.bigredtowing.com,3313 Walters Rd.
"Bossong's Commercial Delivery, Inc.",Ms. Heather Bossong Bobrek , (315) 455-7431,"Trucking, Delivery Service",www.bossongs.com,PO Box 536
Burdick Buick Chevy GMC,Mr. Ryan Meek , (315) 452-1800,Automobile Dealers,www.driversvillage.com,"Drivers Village, Inc."
Burdick Collision Center,Mr. Dave Ryder , (315) 458-0543,Automobile Body Repair,www.driversvillage.com,Driver's Village
Burdick Dodge Chrysler Jeep,Mr. Tim Holmes , (315) 699-3846,Automobile Dealers,www.driversvillage.com,"Driver's Village, Inc.,"
Burdick Fiat,Mr. Willis Amica , (315) 233-5308,Automobile Dealers,www.dvfiat.com,5885 E. Circle Dr.
Burdick Kia,Mr. Willis Amica , (315) 233-5308,Automobile Dealers,www.driversvillage.com,"Driver's Village, Inc.,"
Burdick Lincoln,Mr. David Scott , (315) 699-6300,Automobile Dealers,www.driversvillage.com,Driver's Village
Burdick Mazda,Mr. Jerome Wicker , (315) 455-7051,Automobile Dealers,www.driversvillage.com,Driver's Village
Burdick Mitsubishi,Mr. Mike Ashby , (315) 453-9901,Automobile Dealers,www.driversvillage.com,Driver's Village
Burdick Nissan,Mr. Tom Major , (315) 458-8915,Automobile Dealers,www.driversvillage.com,Driver's Village
Burdick Porsche of Syracuse,Mr. Will Ostrowski , (315) 233-5386,Automobile Dealers,www.driversvillage.com,Driver's Village
Burdick Suzuki,Mr. Mike Ashby , (315) 453-9901,Automobile Dealers,www.driversvillage.com,5885 E. Circle Dr.
Burdick Used Car Warehouse,Mr. Mike Ashby , (315) 458-8447,Automobile Dealers,www.dvused.com,5885 E. Circle Dr.
Burdick Volkswagen,Mr. Bryan Burdick , (315) 699-2661,Automobile Dealers,www.driversvillage.com,Driver's Village
"Burritt Chrysler, Dodge, Jeep, Ram ",Mr. Rich Burritt , (315) 343-6195,Motorized Vehicles and/or...,www.burrittmotors.com,410 W. First St.
"Chrysler's Treasure Automotive, Inc.",Mr. James  W. Chrysler , (315) 454-4754,Automobile Repairing &...,www.centro.org,307 Factory Ave.
CNYRTA,Mr. Rick G. Lee , (315) 442-3333,Transportation,www.davcoperformance.com,200 Cortland Ave.
Davco Performance Automotive,Mr. David Campbell , (315) 422-1100,Automobile Repairing &...,www.delta.com,102 Catawba St.
"Delta Air Lines, LLC",Mr. Henry Kuykendall , (800) 221-1212,Airlines,www.dotfoods.com,1000 Col. Eileen Collins Blvd.
Dot Transportation,Ms. Molly Barber , (315) 457-4911,Transportation,www.dvbizwheels.com,200 Monarch Dr.
Driver's Village Fleet & Commercial Division,Mr. Chris Gerde , (315) 233-5342,Automobile Dealers,www.enterpriseholdings.com,Driver's Village
"DTS Truck Service, Inc.",Ms. Karin Lindsley LeBlond , (315) 422-0464,Trucks Repair & Servic...,www.fingerlakesrail.com,647 Genant Dr.
Enterprise Holdings Inc.,Ms. Molly MacMillan , (585) 298-3257,Automobile Rentals,www.fuccillo.com,1320 Brooks Ave.
Finger Lakes Railway Corp.,Ms. Veronica Fields , (315) 781-1234,Transportation,www.hyundaiofsyracuse.com,PO Box 1099
Fuccillo Automotive Group,Mr. Billy Fuccillo , (315) 232-3222,Automobile Dealers,www.fuccillokiaclay.com,10524 US Rt. 11
"Fuccillo Hyundai of Syracuse, Inc.",Mr. Bill Hendry , (315) 445-7900,Automobile Dealers,www.fuccillonissan.net,2601 Erie Blvd. E.
Fuccillo KIA of Clay,Mr. David Perry , (315) 657-9000,Automobile Dealers,www.jpbfire.com,3885 Rt. 31
"Fuccillo Nissan, Inc.","Mr. Billy Fuccillo, Jr. ", (315) 944-3200,Automobile Dealers,www.pagetrucking.com,3893 Rt. 31
"JPB Fire Services, Inc.",Ms. Juliane Breh , (315) 725-8907,Fire Truck Repair & Sa...,www.lamacchiahonda.com,4736 Onondaga Blvd. #210
Keith Titus Corporation,Ms. Piper Titus Kline , (315) 834-6681,Trucks Repair & Servic...,www.lasertransit.com,PO Box 920
Lamacchia Honda,Mr. Anthony  M. Lamacchia , (315) 422-4168,Automobile Dealers,www.lyft.com,932 W. Genesee St.
Laser Transit Ltd.,Mr. George P. Joyce , (315) 219-4552,Trucking,www.millionair.com/syr.aspx,PO Box 352
Lyft,Mr. Tommy Kimmes , (315) 937-5770,Transportation,www.nulookcollision.com,"185 Berry St., Ste. 5000"
Million Air Syracuse,Ms. Liz Hendricks , (315) 471-8521,Aviation Services,www.pagetrucking.com,110 Air Cargo Rd.
Orso's Nu-Look Collision Center,Ms. Piper Titus Kline , (315) 834-6681,Automobile Repairing &...,www.pagetrucking.com,638 W. Genesee St.
"Page E.T.C., Inc.",Ms. Piper Titus Kline , (315) 834-6681,Transportation,www.pensketruckrental.com,PO Box 920
Page Transportation Inc.,Mr. Brian Torchia , (315) 451-4450,Transportation,www.portoswego.com,PO Box 920
Penske Truck Leasing,Mr. William Scriber , (315) 343-4503,Trucks Rental & Leasin...,www.rudyschmid.com,4469 Steelway Blvd. N.
Port of Oswego Authority,Ms. Diane Schmid-McCall , (315) 422-8879,Maritime Services,www.flysyracuse.com,1 E. Second St.
"Rudy Schmid Inc., TOTAL CAR CARE","Mr. H. Jason Terreri IAP, A.A.E. ", (315) 454-3263,Automobile Repairing &...,www.tesla.com,228 E. Hiawatha Blvd.
Syracuse Regional Airport Authority,Ms. Kate Burson , (610) 597-4587,"Government Agencies, Airports",www.nysw.com,1000 Colonel Eileen Collins Blvd.
"Tesla, Inc.",Mr. Nathan  R. Fenno , (607) 547-2555,"Automobile Dealers, Energy Services, Energy Conservation Produc...",www.united.com,160 Vanbrunt
"The New York, Susquehanna & Western Railway",Ms. Jill Kaplan , (800) 864-8331,Transportation,Board of Directors,1 Railroad Ave.
