NAME,NAME,PHONE NO.,website,add,TAGS
FirstLight,Mr. Brian Osgood , (585) 924-3510,www.firstlight.net,7890 Lehigh Crossing,"Data Communications Equipm..., Telephone Equipment &..., Internet Services, Telecommunications Service..., Computers-Software & S..."
SWBR,Mr. Matthew D. Lupiani , (315) 488-5635,www.swbr.com,309 S. Franklin St.,"Architects, Interior Designers"
Visual Technologies Corp.,Mr. David  J. Foor , (315) 423-2000,www.visualtec.com,1620 Burnet Ave.,"Computers-Leasing & Re..., Audio-Visual Equipment..., Video Conferences, Conference Services &..., Video Production Services, Event Planners"
"Acumen Detection, LLC",Mr. Chuck Stormon , (315) 491-1011,www.acumendetection.com,6274 Running Ridge Rd.,Laboratories Testing
ADESA Syracuse,Mr. David Taylor , (315) 698-7500,www.adesa.com,5930 Rt. 31,Auctioneers
"ADP, LLC",Mr. Jenk Lagho , (800) 664-2671,www.adp.com,445 Electronics Pkwy.,"Payroll Services, Human Resource Consultants, Time Recorders - Automated, Employee Benefits, Business Consultants"
Advance Media New York,Mr. Tim Kennedy , (315) 470-0032,www.advancemediany.com,220 S. Warren St.,"Newspapers, Advertising Agencies, Marketing Consultants"
Advanced Automation Corporation,Mr. Robert Clancy , (315) 336-2071,www.aac-usa.com,Mill Pond Landing,"Engineering Design & M..., Engineers, Engineers Consulting"
Advanced Automation Corporation,Mr. Robert Clancy , (315) 336-2071,www.aac-usa.com,201 Mill St.,"Engineers Consulting, Engineers, Engineering Design & M..."
"Ahern, Murphy & Associates",Mr. Timothy Ahern , (315) 655-2296,www.ahernmurphy.com,4448 E. Lake Rd.,Training Programs & Co...
Anne Messenger – Executive Coach & Facilitator,Ms. Anne Messenger , (315) 559-4173,www.anne-messenger.com,4719 Limberlost Ln.,"Coaches Personal & Pro..., Outplacement Consultants, Career & Vocational Co..."
ANSUN Graphics,Mr. Jared M. Massett , (315) 437-6869,www.ansun.biz,6392 Deere Rd.,"Printers, Mailing Services, Graphic Design"
"Argus Engineering, PLLC","Mr. Jon  M. Guisbond, PE ", (315) 475-6061,www.argusengineering.com,200 Boss Rd.,Engineers Consulting
Armoured One,Mr. Tino Amodei , (888) 559-5255,www.armouredone.com,386 N. Midler Ave.,"Security Systems Services..., Manufacturers"
Art of Likability,Mr. Arel Moodie , (800) 617-9648,www.artoflikability.com,4573 Reliant Rd.,Training Programs & Co...
Asbestos & Environmental Consulting Corp (AECC),Mr. Jeff Cooper , (315) 432-9400,www.aeccgroup.com,6308 Fly Rd.,Consultants
"Ashley McGraw Architects, DPC",Ms. Eri Spaulding , (315) 425-1814,www.ashleymcgraw.com,"125 E. Jefferson St., 15th Flr.",Architects
Atlantic Testing Laboratories Limited,Ms. Marijean Remington , (315) 386-4578,www.atlantictesting.com,PO Box 29,"Laboratories Testing, Engineers Geotechnical, Mold Inspection & Reme..."
"Audubon Maintenance, Inc.",Mr. Robert Enis , (315) 476-4440,www.teamavalon.com,3817 E. Genesee St.,Janitorial Services
Avalon,Mr. Shawn Thrall , (315) 471-3333,www.bartonandloguidice.com,901 N. State St.,"Copying & Duplicating..., Printers, Cyber Security"
"Barton & Loguidice, D.P.C.","Mr. John F. Brusa, Jr., P.E. ", (315) 457-5200,www.empirebox.com,443 Electronics Pkwy.,Engineers Consulting
BCI Empire Division,Mr. Jim Trombino , (315) 437-1181,www.beardsley.com,151 Midler Park Dr.,"Boxes, Packaging Services"
Beardsley Architects + Engineers,Mr. Thomas Wight , (315) 472-6980,www.bellandspina.com,5789 Widewaters Pkwy.,"Architects, Engineers Consulting"
"Bell & Spina, Architects-Planners, P.C.",Mr. Dennis C. Spina , (315) 488-0377,www.bellowslocksmith.com,215 Wyoming St.,Architects
Bellows Lock Corp.,Mr. John Bellows , (315) 401-4960,www.bluerockenergy.com,PO Box 137,Locksmiths
"BlueRock Energy, Inc.",Mr. Phil VanHorne , (877) 280-4909,www.bobcatofcny.com,"125 E. Jefferson St., Ste. 800","Energy Marketing, Energy Services"
Bobcat of Central New York a Thompson and Johnson Equipment Co.,Mr. Brian Hill , (315) 437-2829,www.bsk.com,6926 Fly Rd.,"Construction Equipment..., Rental Services"
"Bond, Schoeneck & King, PLLC",Mr. Kevin M. Bernstein , (315) 218-8000,www.bossongs.com,One Lincoln Center,Legal Services
"Bossong's Commercial Delivery, Inc.",Ms. Heather Bossong Bobrek , (315) 455-7431,www.bhlawpllc.com,PO Box 536,"Trucking, Delivery Service"
BOUSQUET HOLSTEIN PLLC,Mr. Laurence G. Bousquet , (315) 422-1500,www.lakeontarioecc.com,One Lincoln Center,Legal Services
Broadwell Hospitality Group,Mr. Shane Broadwell , (315) 343-5121,www.brophyservices.com,PO Box 1001,"Banquets & Conference..., Conference Centers, Wedding Services"
"Brophy Services, Inc.",Ms. Eileen Brophy , (315) 434-9676,www.bdflegal.com,PO Box 166,Janitorial Services
"Brown Duke & Fogel, P.C. (BDF)","Mr. Michael Fogel, Esq. ", (315) 399-4343,www.budgetsignsonline.net,"100 Madison St., Ste. 1820",Legal Services
"Budget Sign Systems, Inc.",Mr. Adam Jennings , (315) 463-1274,www.cnybs.com,3719 New Court Ave.,Signs
"Business Systems of CNY, Inc.",Mr. Ron Woytan , (315) 423-4083,www.cscos.com,114 Game Rd.,Telephone Equipment &...
C&S Companies,Mr. Orrin  B. MacMurray , (315) 455-2000,www.ctmale.com,499 Col. Eileen Collins Blvd.,"Engineers Consulting, Construction Management, Mechanical Contractors, Architects, Cranes Rental & Leasin..., Plumbing Contractors"
C.T. Male Associates,Mr. David Uhrinec , (315) 458-6498,case.syr.edu,"200 Gateway Pk., Bldg. C","Surveyors, Engineers Civil, Environmental Consultants"
"Calocerinos Engineering, PLLC",Mr. Steven Calocerinos , (315) 214-5861,www.cateringatthezoo.org,PO Box 2187,Engineers Consulting
CASE: The Center for Advanced Systems and Engineering,Ms. Marilyn Polosky , (315) 443-1060,www.centerstateceo.com,Syracuse University 2-212 CST,"Business Incubators, Technology Development Con..."
Catering at the Zoo,Ms. Brittany Waszkiewicz , (315) 726-0707,www.centurypartyrental.com,1 Conservation Pl.,Banquets & Conference...
CenterState CEO,Mr. Robert Simpson , (315) 470-1800,www.ch2m.com,115 W Fayette Street,"Associations, Business Services"
Century Party Rental,Ms. Giselle McArdell , (315) 452-1240,www.chimeraintegrations.com,933 Church St.,Trade Show & Conventio...
CH2M,"Mr. Zachary Monge, P.E. ", (315) 345-1440,www.cintas.com,"430 E. Genesee St., Ste. 203",Engineers
"Chimera Integrations, LLC",Mr. Casey White , (315) 849-2080,www.cleanstartsystems.com,"6035 E. Taft Rd., Ste. 102","Security Systems Services..., Access Control, Electronic Security &..., Fire Alarm Systems"
Cintas Corporation,Mr. Dan Colantuoni , (315) 432-1888,www.syrcs.com,7655 Henry Clay Blvd.,"Uniforms Rental, Mats & Matting, Promotional Products, Janitorial Supplies"
Cleanstart Systems,,(888) 626-1722,www.confidata.com,PO Box 2060,Janitorial Services
Comfort Suites Cicero - Syracuse North,Ms. Janelle Hart , (315) 752-0150,www.cooleybrand.com,5875 Carmenica Dr.,"Hotels & Motels, Banquets & Conference..."
Confidata,Bambi Helmer or Rob Shauger  , (315) 797-4733,www.ccmr.cornell.edu/industry/industry,PO Box 353,"Paper-Shredded, Document Destruction"
"Cooley Group, Inc.",Ms. Karie L. Ballway , (315) 432-1029,www.pouncesystems.com,6700 Kirkville Rd.,"Promotional Products, Marketing Consultants"
Cornell Center for Materials Research,Dr. Michele van de Walle -,(607) 255-8809 ,www.ccf-law.com,607 Clark Hall,Research & Development
"Cortland Research, LLC",Mr. Steve McMahon , (607) 218-7111,www.cpsyracuse.com,PO Box 307,Energy Conservation Produc...
"Costello, Cooney & Fearon, PLLC","Mr. Robert  J. Smith, Esq. ", (315) 422-1152,www.customlawn-scapes.com,"500 Plum St., Ste. 300",Legal Services
Crowne Plaza Hotel & Conference Center,Mr. Kyle D. Hares , (315) 479-7000,www.dalpos.com,701 E. Genesee St.,"Hotels & Motels, Conference Centers"
"Custom Lawn-Scapes, Inc.",Mr. Paul Fried , (315) 458-4921,www.danelipartners.com,PO Box 2251,"Landscape Contractors, Snowplowing, Lawn & Garden Maintena..."
"Dal Pos Architects, LLC","Mr. John  A. Bartolotti, AIA ", (315) 422-0201,www.delaneyworldwide.com,"101 N. Clinton St., Ste. 300",Architects
Daneli Partners,Ms. Lisa King , (315) 420-8036,www.dhpconsulting.com,410 Canal Pl.,Business Services
Delaney Worldwide,Mr. Arthur Delaney , (315) 453-7800,www.btitravel.com,7045 Interstate Island Rd.,Moving & Storage
"DHP Consulting, LLC",Mr. David  H. Panasci , (315) 468-8655,www.syracuse.doubletree.com,"100 E. Washington St., Ste. 206",Management Consultants/Ser...
Direct Travel (formerly BTI Travel),Ms. Jennifer DeFuria , (315) 472-7737,www.godoyle.com,124 E. Jefferson St.,"Travel Agencies, Event Planners"
Doubletree Hotel Syracuse,Mr. Robert Benetti , (315) 432-0200,www.DriveResearch.com,6301 State Rte. 298,"Banquets & Conference..., Hotels & Motels"
"Doyle Security Systems, Inc.",Mr. Dan Wager , (315) 428-9888,www.duplionline.com,"24 Corporate Cir., Ste. 1","Security Systems Services..., Fire Alarm Systems"
Drive Research,Mr. George Kuhn , (315) 303-2040,https://easternsecurity.net,"6702 Buckley Rd., Ste. 110B","Market Research & Anal..., Business Development/Servi..., Professional Services"
Dupli Envelope & Graphics/PCI,"Mr. J. Kemper Matt, Jr. ", (315) 234-7241,www.edisoninnovativepower.com/home,6761 Thompson Rd. N.,"Envelopes Plain & Prin..., Printers, Promotional Products"
Eastern Security Services,Mr. Cooper MacDonnell , (315) 422-4141,www.embassysuites3.hilton.com/en/hotels/new-york/embassy-suites-by-hilton-syracuse-syrdwes/index.html,911 N. Geddes St.,Security Systems Services...
"Edison Innovative Power, LLC",Mr. James Morrison , (315) 802-1200,www.getemergent.com,PO Box 23,"Energy Services, Engineering Design & M..."
Embassy Suites Syracuse,Ms. Karen Rogowski , (315) 446-3200,www.engieresources.com,6646 Old Collamer Rd. S.,"Hotels & Motels, Banquets & Conference..."
Emergent,Ms. Cathy Gaynor , (315) 635-6300,www.edrdpc.com,"126 N. Saliina St., Ste. 402",Management Consultants/Ser...
ENGIE Resources,Mr. Lenny Tilton , (315) 254-2764,www.edrdpc.com,5789 Widewaters Pkwy.,"Energy Conservation Produc..., Energy Services"
"Environmental Design & Research, Landscape Architecture, Engineering & Environmental Services, D.P.C.",Ms. Joanne Stewart , (315) 471-0688,www.epsofvermont.com,"217 Montgomery St., Ste. 1000","Landscape Architects, Engineers Civil"
"Environmental Design & Research, Landscape Architecture, Engineering & Environmental Services, D.P.C. ",Ms. Joanne Stewart , (585) 271-0040,www.eplawcenter.com,"274 N. Goodman St., Ste. B260","Landscape Architects, Engineers Civil"
"Environmental Products & Services of Vermont, Inc.",Mr. Dan Parzych , (315) 451-6666,www.eventprep.com,532 State Fair Blvd.,Environmental Services
"Estate Planning Law Center, David J. Zumpano CPA/Esq.","Mr. David  J. Zumpano, CPA/Esq. ", (315) 446-3850,www.fastsigns.com/597,6900 Highbridge Rd.,Legal Services
"EventPrep, Inc.",Ms. Me'Shae Brooks-Rolling , (315) 908-2665,www.geneseegrande.com,201 W. Genesee St. #180,Event Planners
FASTSIGNS,Mr. Russell Hall , (315) 473-0444,www.ghd.com,"2043 Erie Blvd. E., Unit 2",Signs
Genesee Grande Hotel,Mr. Mahim Sharma , (315) 476-4212,www.greaterrochesterchamber.com/business-services/reference-checking,1060 E. Genesee St.,"Hotels & Motels, Banquets & Conference..."
Geronimo Energy ,"Mr. Eric  W. Will, II ", (315) 952-3611,www.gsmoving.com,"8104 Cazenovia Rd., Bldg. 3, 2nd Flr.","Leasing, Financial Services - Busin..., Energy Conservation Produc..."
"GHD Consulting Services, Inc.",Ms. Anne Smith , (315) 679-5888,www.greekpeakmtnresort.com,One Remington Park Dr.,"Engineers Consulting, Engineers Environmental"
Greater Rochester Chamber of Commerce Background & Reference Checking,Mr. Dominic Oliveri , (585) 256-4647,www.gza.com,"150 S. State St., Ste. 400",Employee Assessment
"Greater Syracuse Moving & Storage Company, Inc.",Mr. Jon Cleland , (315) 458-9080,www.hamptoninn.com,6255 E. Taft Rd.,Moving & Storage
Greek Peak Mountain Resort & Hope Lake Lodge & Conference Center,Mrs. Jessica L. Sloma , (844) 852-9312,www.hancocklaw.com,2177 Clute Rd.,"Hotels & Motels, Conference Centers"
"GZA GeoEnvironmental, Inc.",Mr. Benjamin Haith , (315) 463-5300,www.harrisbeach.com,6296 Fly Rd.,"Engineers Environmental, Engineers Geotechnical"
Hampton Inn & Suites by Hilton Syracuse Dewitt,Ms. Cristina Butler-Cruz , (315) 373-0333,www.hhk.com,3017 Erie Blvd. E.,"Hotels & Motels, Banquets & Conference..."
"Hancock Estabrook, LLP",Mr. Timothy P. Murphy , (315) 565-4500,www.hkkarchitects.com,1800 AXA Tower I,Legal Services
Harris Beach PLLC,Mr. David M. Capriotti , (315) 423-7100,www.holt.com,"333 W. Washington St., Ste. 200",Legal Services
"Hinman, Howard & Kattell, LLP",Ms. Beth Viviano-Fives , (315) 473-9414,www.hopeforbereaved.com,"224 Harrison St., Ste. 500",Legal Services
"Holmes, King, Kallquist & Associates","Mr. Bruce King, AIA ", (315) 476-8371,www.huenelectric.com,575 N. Salina St.,Architects
"HOLT Architects, P.C.",Mr. Nathan Brown AIA , (315) 459-7131,www.hummelsop.com,132 E. Jefferson St.,Architects
"Hope For Bereaved, Inc.",Ms. Therese Schoeneck , (315) 475-9675,www.ibewlocal97.org,4500 Onondaga Blvd.,Training Programs & Co...
"hpg partners, llc.",Ms. Alyse Holstein , (315) 345-8797,www.ibew43.org,6894 Kassonta Dr.,Business Development/Servi...
Huen New York,Mr. Don Colvin , (315) 432-5060,www.ichortherapeutics.com,6695 Old Collamer Rd.,"Electrical Contractors, Contractors Design & B..., Contractors Industrial Com..., Security Systems Services..."
Hummel's Office Plus,Mr. Justin Hummel , (315) 866-3860,www.imsdirect.com,6731 Collamer Rd.,"Office Supplies, Office Furniture Retail, Janitorial Supplies, Ink & Toner"
IBEW Local 97,Mr. Theodore Skerpon , (315) 476-9797,www.in-architects.com,713 Erie Blvd. W.,Unions
IBEW Local Union Electrical #43,Mr. Alan Marzullo , (315) 422-0435,www.insightbusinessworks.com,4568 Waterhouse Rd.,"Unions, Telecommunications Service..."
Ichor Therapeutics Inc.,"Mr. Kelsey Moody, MBA ", (315) 677-8400,www.instantdeliverysyr.com,2521 US Rt. 11,Research & Development
"IMS, Inc.","Mr. John Mashia, Jr. ", (315) 437-4189,www.iicontractfurniture.com,245 Commerce Blvd.,"Mailing Services, Advertising Direct Mail, Digital Printing & Ima..."
in Architects,Mr. James Knittel , (315) 728-9458,www.ipdengineering.com,"239 E. Water St., 2nd Flr.",Architects
"Insight Business Works, Inc.","Dr. Christine Allen, Ph.D. ", (315) 727-8881,www.jrclancy.com,"600 E. Genesee St., Suite 208","Coaches Personal & Pro..., Management Consultants/Ser..."
"Instant Delivery, Inc.",Mr. Daniel Myshrall , (315) 487-2529,www.janitronicsinc.com,103 Johnson St.,Delivery Service
Interior Innovations,Ms. Laura Cueva , (315) 724-1985,www.jenliddy.com,1641 E. Genesee St.,"Office Equipment & Fur..., Office Furniture Retail"
IPD:Engineering,Mr. Sam Cosamano , (315) 423-0185,www.justtherightstuff.com,One Webster's Landing,Engineers Consulting
"J.R. Clancy, Inc.",Mr. Mark O'Donnell , (315) 451-3440,www.kingarch.com,7041 Interstate Island Rd.,Theatrical Rigging Equipme...
"Janitronics Facility Services, Inc.",Mr. Jeffrey Sweenie , (315) 453-1070,www.khhpc.com,7143 Henry Clay Blvd.,Janitorial Services
Jen Liddy Coaching & Development,Ms Jen Liddy , (315) 430-0456,www.ksrinc.com,308 Summit Ave.,Coaches Personal & Pro...
Just the Right Stuff,Mr. James Wallace , (315) 433-1309,www.molldremlaw.com,103 Twin Oaks Dr.,Business Forms & Syste...
King + King Architects LLP,Mr. Kirk Narburgh, (315) 682-6180,www.leadsyr.org,358 W. Jefferson St.,"Architects, Interior Designers"
Klepper Hahn & Hyatt,Mr. James  A. D'Aloisio , (315) 446-9201,http://ldts-law.com,5710 Commons Park Dr.,Engineers Consulting
KS&R,Mr. Michael Nash , (315) 470-1350,www.mackenziehughes.com,"120 Madison St., 15th Flr.",Market Research & Anal...
Law Office of Bernhard Molldrem,Mr. Bernhard Molldrem , (315) 422-4323,www.mecny.com,224 Harrison St.,"Legal Services, Patent Attorneys & Age..."
Leadership Greater Syracuse,Ms. Pam Brunet , (315) 422-5471,www.advancedfinancialcny.com,"5703 Enterprise Pkwy., Ste. C",Training Programs & Co...
"Lynn, D’Elia Temes & Stanczyk",Mr. David C. Temes , (315) 476-1010,www.matrixcommunications.com,"100 Madison St., Twr. 1, Ste. 1905",Legal Services
Mackenzie Hughes LLP,Ms. Anne Ruffer , (315) 474-7571,www.meridianitinc.com,Mackenzie Hughes Tower,Legal Services
Marathon Energy CNY,Mr. Jerry Drenis , (315) 226-4477,www.michaelsgro.com,"100 Elwood Davis Rd., Ste. 2G","Energy Services, Energy Marketing"
"Mario Bottoni, CPA, PC",Mr. Mario Bottoni , (315) 415-9296,www.mower.com,320 Fayette St.,"Accountants Certified Publ..., Tax Services, Investment Advisory Servic..."
Matrix Communications,Mr. James Annese , (315) 451-4777,www.nkbpc.com,126 Dwight Park Cir.,"Telephone Equipment &..., Telecommunications Service..."
Meridian IT Inc.,Mr. Timothy McDermott , (315) 362-9200,www.naveteam.com,509 Erie Blvd. W.,Telephone Equipment &...
Michael Sgro Leadership Coaching,"Mr. Michael D. Sgro, CPBC ", (917) 275-3385,www.newmanlickstein.com,359 S. Warren St.,Coaches Personal & Pro...
Mower,Ms. Stephanie Crockett , (315) 466-1000,www.nickelsenergysolutions.com,"211 W. Jefferson St., Ste. 1","Interactive Media, Public Relations, Advertising Agencies"
"N.K. BHANDARI, Architecture & Engineering, P.C.","Mr. Christopher R. Resig, ", (315) 428-1177,www.noco.com,"1005 W. Fayette St., Ste. 4A","Architects, Engineers"
Nave Law Firm,Mr. Sean D. Kelsey , (315) 200-1573,www.northpointusa.com,"432 N. Franklin St., Ste. 80",Legal Services
Newman & Lickstein,Mr. Steven Lickstein , (315) 422-1172,www.northeastdecorating.com,"109 S. Warren St., Ste. 404",Legal Services
Nickels Energy Solutions,Mr. Kevin Nickels , (315) 481-7412,www.neidinc.com,4575 Buckley Rd.,Energy Services
Niteopark LLC,Mr. Marc Viggiano , (315) 382-4173,www.northland.net,113 Stanwood Ln.,Engineers Consulting
NOCO Energy Corp.,Mr. Jim Lee , (315) 481-3596,www.obg.com,4513 Wilderness Way,"Energy Marketing, Oils Fuel, Oils Lubricating, Natural Gas & Electric..."
"North Point Technology, LLC","Mr. Robert  P. Lee, P.E. ", (866) 885-3377,www.offdutyblue.com,"520 Columbia Dr., Ste. 105",Engineers Consulting
"Northeast Decorating & Exhibit Services, Inc.",Mr. Bill Newman , (315) 471-9989,www.onondagasbdc.org,PO Box 607,"Trade Show & Conventio..., Party Rentals, Special Events, Tents"
Northeast Information Discovery Inc.,Ms. Kristin Meyer , (315) 875-5467,www.parsons.com,3197 Seneca Tnpk.,"Computers-Software & S..., Research & Development"
Northland Communications,Mr. Jim McCarthy , (315) 671-6200,www.penandtrophy.com,PO Box 11156,"Internet Services, Telecommunications Service..., Telephone Equipment &..."
OBG,Mr. James Fox , (315) 956-6100,www.peoplesystems.com,333 W. Washington St.,Engineers Consulting
"Off Duty Blue, Inc.",Mr. Mark Grady , (315) 263-7184,www.pinnaclehrllc.com,The Tech Garden,Services
Onondaga Small Business Development Center,Ms. Joan Powers , (315) 498-6070,www.pjgreen.com,"Mulroy Hall, 4th Fl.",Business Development/Servi...
"PADCARE, Inc.",Mr. Kevin Williams , (315) 634-5548,www.plussignandgraphics.com,5701 E. Circle Dr. #395,Management Consultants/Ser...
Parsons,Mr. Leslie Cordone , (315) 451-9560,www.premierpromo.com,"301 Plainfield Rd., Ste. 350",Engineers Consulting
"Pen & Trophy Center, Inc.",Mr. Daniel Monti , (315) 422-8797,www.pccav.com,119 E. Second St.,"Awards & Incentives, Engraving/Laser"
PeopleSystems,Mr. Christopher Fletcher , (315) 471-2627,http://www.priorityconnections.com/,5795 Widewaters Pkwy.,Human Resource Consultants
Pinnacle Human Resources LLC,Ms. Karin Keller , (518) 486-8152,www.proz.com,90 State St.,Human Resource Consultants
"PJ Green, Inc.",Ms. Lisa Darling , (315) 463-0690,www.qpkdesign.com,"24 Corporate Cir., Ste. 2","Printers, Mailing Services"
Plus Sign & Graphics,Ms. Sarah Parsons , (315) 447-8570,www.quanterion.com,1116 Cumberland Ave.,Signs
Premier Promotions,Mr. Steve Becker , (315) 622-2249,www.raillinesyr.com,4280 Persimmon Path,Event Planners
"Presentation Concepts Corporation, Inc.",Mr. Timothy  J. Butz , (315) 437-1314,www.rrms.com,6517 Basile Rowe,"Audio-Visual Equipment..., Video Communications Syste..."
Priority Connections,Mr. Paul Henson , (315) 698-4411,www.renovussolar.com,6260 South Bay Rd.,"Telephone Equipment &..., Security Systems Services..."
"ProZ.com, Inc.",Mr. Henry Dotterer , (315) 463-7323,www.rmsresults.com,The Tech Garden,Translation Services
"QPK Design, LLP",Ms. Eugenia Brieva , (315) 472-7806,www.rightpricecompanies.com,"450 S. Salina St., Rm. 500","Architects, Landscape Architects, Interior Designers, Engineers Structural, Engineers Geotechnical"
"Quanterion Solutions, Inc.",Mr. Preston MacDiarmid , (315) 732-0097,www.rsa-architect.com,266 Genesee St.,Engineers Consulting
Rail Line,Mr. Robert Podfigurny , (315) 396-0473,www.runningboardsmarketing.com,"327 W. Fayette St., Ste. 412","Banquets & Conference..., Restaurants"
"Rapid Response Monitoring Services, Inc.",Mr. David  J. Pida , (800) 558-7767,www.rushtera.com,400 W. Division St.,Security Systems Services...
Renovus Solar,Mr. Anthony Escamilla , (607) 277-1777,www.rzengineering.com,1520 Trumansburg Rd.,Energy Services
"Research & Marketing Strategies, Inc. (RMS)",Mr. Mark Dengler , (315) 635-9802,www.gregorventures.sandler.com,"15 E. Genesee St., Ste. 210",Market Research & Anal...
"Right Price Companies, Inc.",Mr. Darin  L. Price , (315) 701-2380,www.isanico.com,4726 S. Salina St.,"Office Supplies, Office Furniture Retail"
"Robertson-Strong-Apgar Architects, PC",Mr. Lawrence Apgar , (315) 472-7761,www.scalfonelaw.com,1054 James St.,Architects
Running Boards Marketing,Mr. Kevin Murray , (315) 755-2240,www.schooleymitchell.com/ralvarez,19138 US Rt. 11,Marketing Consultants
