name,tags,website,namephno,add
FirstLight,"Data Communications Equipm..., Telephone Equipment &..., Internet Services, Telecommunications Service..., Computers-Software & S...",www.firstlight.net,Mr. Brian Osgood - (585) 924-3510,7890 Lehigh Crossing
All Times Publishing dba Family Times ,"Newspapers, Magazines, Marketing Communications",www.syracusenewtimes.com,Mr. William  C. Brod - (315) 422-7011,1415 W. Genesee St.
AT&T,Communications Cellular/Mo...,www.att.com,Mr. Michael Graham - (315) 445-3051,5841 Bridge St.
AT&T,Communications Cellular/Mo...,www.att.com,Mr. Kevin Hanna - (716) 686-5430,2875 Union Rd.
Cellular Sales Verizon Wireless,Communications Cellular/Mo...,www.cellularsales.com,Ms. Katie Jungjohann - (315) 484-5881,3705 W. Genesee St.
Cellular Sales Verizon Wireless,Communications Cellular/Mo...,www.cellularsales.com,Ms. Katie Jungjohann - (315) 802-4438,6511 Thompson Rd.
Crown Castle Fiber,Telecommunications Service...,www.fiber.crowncastle.com,Mr. Tom Castronova - (585) 697-5183,300 Meridian Centre
Cumulus Media,Radio Stations,www.cumulus.com,Ms. Beth Coughlin - (315) 472-0200,1064 James St.
FOX68 WSYT-MY43 WNYS,Television Stations,www.foxsyracuse.com,Mr. Don O'Connor - (315) 472-6800,1000 James St.
Galaxy Media,Radio Stations,www.galaxymediacompany.com,Mr. Edward Levine - (315) 472-9111,235 Walton St.
GreenField Wireless LLC,Telecommunications Service...,www.greenfieldwireless.com,Mr. Shaquille Leggett - (315) 887-5027,370 W. 1st St.
IBEW Local Union Electrical #43,"Unions, Telecommunications Service...",www.ibew43.org,Mr. Alan Marzullo - (315) 422-0435,4568 Waterhouse Rd.
iHeartMedia,Radio Stations,www.570wsyr.com,Mr. Rick Yacobush - (315) 472-9797,"500 Plum St., Ste. 400"
Matrix Communications,"Telephone Equipment &..., Telecommunications Service...",www.matrixcommunications.com,Mr. James Annese - (315) 451-4777,126 Dwight Park Cir.
"NBC3, CBS5, CW6 and CNYCentral.com ",Television Stations,www.cnycentral.com,Ms. Amy Collins - (315) 477-9400,1030 James St.
NewsChannel 9 WSYR-TV,Television Stations,www.localsyr.com,Mr. Bill Evans - (315) 446-9999,5904 Bridge St.
Northland Communications,"Internet Services, Telecommunications Service..., Telephone Equipment &...",www.northland.net,Mr. Jim McCarthy - (315) 671-6200,PO Box 11156
O'Connell Electric Co.,"Electrical Contractors, Communication, Electrical Testing",www.oconnellelectric.com,Mr. Donald Coon - (315) 437-1453,7001 Performance Dr.
"Presentation Concepts Corporation, Inc.","Audio-Visual Equipment..., Video Communications Syste...",www.pccav.com,Mr. Timothy  J. Butz - (315) 437-1314,6517 Basile Rowe
Spectrum Enterprise,"Cable TV Companies, Internet Services, Telecommunications Service..., Security Systems Services...",www.spectrum.com,Mr. Noel Dempsey - (315) 634-6200,"3179 Erie Blvd. E., Ste. 230"
Syntela Conferencing,Telecommunications Service...,www.syntela.com,Mr. Dino Dimkopoulos - (315) 636-4440,"250 S. Clinton St., Ste. 120"
Terakeet,Marketing Communications,www.terakeet.com,Mr. Mac Cummings - (800) 655-2724,"333 W. Washington St., Ste. 140"
"United Radio, Inc.","Radio Communications Equip..., Appliance Repair",www.unitedradio.com,Mr. Phillip D. Rubenstein - (315) 446-7181,5703 Enterprise Pkwy.
Verizon,Telecommunications Service...,www.verizon.com,Mr. Chip Lawrence - (800) VER-IZON,"158 State St., Flr. 10"
WAER Public Media,Radio Stations,www.waer.org,Mrs. Jennifer Weekes-Osada - (315) 443-5254,795 Ostrom Ave.
WCNY-TV/Classic FM,"Television Stations, Video Production Services, Educational Services",www.wcny.org,Mr. Mitch Gelman - (315) 453-2424,415 W. Fayette St.
Westelcom Network Inc.,Telecommunications Service...,www.westelcom.com,Ms. Jill Van Hoesen - (315) 755-2255,State Tower Building
Westelcom Network Inc.,Telecommunications Service...,www.westelcom.com,Ms. Jill Van Hoesen - (315) 755-2255,130 Park Pl.
"Wireless Business Group, LLC",Communications Wireless,www.wirelessbusinessgroup.com,Mr. Sam Serianni - (315) 701-0855,1620 Burnet Ave.
