name,tags,website,namephno,add
Blessed Sacrament School,Schools,www.blessedsacramentschool.org,Ms. Andrea Polcaro - (315) 463-1261,3129 James St.
Bryant & Stratton College,Schools,www.bryantstratton.edu,Mr. Michael Sattler - (315) 472-6603,953 James St.
Cathedral Academy at Pompei,Schools,www.capsyracuse.org,Sister Helen Ann Charlebois - (315) 422-8548,923 N. McBride St.
Cayuga Community College,Educational Services,www.cayuga-cc.edu,Dr. Keiko Kimura - (315) 593-6300,11 River Glen Dr.
Cayuga Community College,Schools,www.cayuga-cc.edu,Dr. Brian M. Durant Ph.D. - (315) 255-1743,197 Franklin St.
Cazenovia College,Schools,www.cazenovia.edu,"Dr. Ronald Chesbrough, Ph.D. - (315) 655-7128",22 Sullivan St.
City of Oswego,Government Agencies,www.oswegony.org,Mr. Justin Rudgick - (315) 343-3795,"44 E. Bridge St., 1st Flr."
Colgate University,Schools,www.colgate.edu,Dr. Brian W. Casey - (315) 228-7444,13 Oak Dr.
Columbia College of Missouri @ Hancock Field,Schools,www.ccis.edu/syracuse,Ms. Renee Grosso - (315) 455-0690,6796 Townline Rd.
Cornell Cooperative Extension of Onondaga County,Educational Organizations...,www.extendonondaga.org,Mr. David Skeval - (315) 424-9485,"2 Clinton Square, Ste. 170"
Cornell University,Schools,www.cornell.edu,Ms. Martha E. Pollack - (607) 255-5201,300 Day Hall
Grand Canyon University,"Schools, Educational Organizations...",www.gcu.edu/ec/Cara.Golbourne,Ms. Cara Golbourne - (315) 283-2957,3300 W. Camelback Rd.
"Hezel Associates: Evaluation, Research & Planning",Educational Consultants,www.hezel.com,"Dr. Richard Hezel, PhD - (315) 422-3512","731 James St., Ste. 410"
"Innovative Interfaces, Inc.",Library Automation Vendors,www.iii.com,(315) 634-1234,"103 Commerce Blvd., Ste. A"
Le Moyne College,Schools,www.lemoyne.edu,Dr. Linda LeMura - (315) 445-4120,1419 Salt Springs Rd.
Madden School of Business @ Le Moyne,Educational Organizations...,www.lemoyne.edu,Mr. Jim Joseph - (315) 445-4280,Le Moyne College
Manlius Pebble Hill School,Schools,www.mphschool.org,Ms. Jennifer Neuner - (315) 446-2452,5300 Jamesville Rd.
Morrisville State College,Schools,www.morrisville.edu,"Dr. David E. Rogers, Ph.D. - (315) 684-6044",PO Box 901
New York Air National Guard 174th Attack Wing,Government Agencies,www.hancockfield.ang.af.mil,Col. Michael R. Smith - (800) 982-3696,6001 E. Molloy Rd.
Oneida Indian Nation,Government Agencies,www.oneidaindiannation.com,Mr. Peter Carmen - (315) 829-8350,579A Main St.
Onondaga Community College,Schools,www.sunyocc.edu,"Dr. Casey Crabill, Ed.D. - (315) 498-2622",4585 W. Seneca Tnpk.
Onondaga-Cortland-Madison BOCES,Schools,www.ocmboces.org,Mr. Phillip D. Grome - (315) 431-8407,110 Elwood Davis Rd.
Onondaga-Cortland-Madison BOCES,Schools,www.ocmboces.org,Ms. Mari Ukleya - (607) 758-5111,McEvoy Campus
Peaceful Schools,Educational Organizations...,www.peacefulschools.com,Dr. Lura  L. Lunkenheimer Ed.D. - (315) 558-4219,161 Intrepid Ln.
Prevention Network/OCAA,"Alcoholism Information..., Educational Organizations..., Human Services Organizatio...",www.preventionnetworkcny.org,Ms. Beth Hurny - (315) 471-1359,906 Spencer St.
SUNY College at Cortland,Schools,www.cortland.edu,Mr. William Veit - (607) 753-2201,PO Box 2000
SUNY College of Environmental Science & Forestry,Schools,www.esf.edu,Dr. David Amberg - (315) 470-6500,1 Forestry Dr.
