name,tags,website,namephno,add
100 Black Men of Syracuse,Nonprofit Organizations,www.100blackmensyr.org,Mr. Drake Harrison - (315) 443-8749,2610 S. Salina St.
AccessCNY,Nonprofit Organizations,www.accesscny.org,Mr. Paul Joslyn - (315) 455-7591,1603 Court St.
ACR Health,Human Services Organizatio...,www.acrhealth.org,Mr. Wil Murtaugh - (315) 475-2430,627 W. Genesee St.
Allyn Family Foundation,Charities,www.allynfoundation.org,Ms. Margaret O'Connell - (315) 685-5059,"11 Fennell St., Ste. 1"
"Alzheimer's Association, CNY Chapter",Nonprofit Organizations,www.alz.org/cny,Ms. Catherine James - (315) 472-4201,441 W. Kirkpatrick St.
American Heart Association/American Stroke Association,Nonprofit Organizations,www.heart.org/syracuse,Mr. Franklin Fry - (315) 728-7547,"2 Clinton Sq., Ste. 305"
Arc of Onondaga,Human Services Organizatio...,www.arcon.org,Ms. Ellen Gutmaker - (315) 476-7441,600 S. Wilbur Ave.
"ARISE Child and Family Service, Inc.","Human Services Organizatio..., Counseling Services, Nonprofit Organizations",www.ariseinc.org,Ms. Tania S. Anderson - (315) 472-3171,635 James St.
Armory Square Association,Associations,www.armorysq.org,Ms. Stephenie Pyle - (315) 442-5947,PO Box 1025
Baptist Convention of New York,Nonprofit Organizations,www.bcnysbc.org,Rev. Terry  M. Robertson - (315) 433-1001,6538 Baptist Way
Better Business Bureau,Nonprofit Organizations,www.bbb.org,Ms. Melanie McGovern - (800) 828-5000,100 Bryant Woods South
Big I New York,Associations,www.biginy.org,"Mrs. Lisa K. Lounsbury CAE, AAI - (315) 432-9111","5784 Widewaters Pkwy., 1st Flr."
CABVI Syracuse Industries,Nonprofit Organizations,www.cabvi.org,Mr. Steve Gannon - (315) 797-2233,6050 Court Street Rd.
Catholic Charities of Onondaga County,Human Services Organizatio...,www.ccoc.us,Mr. Michael F. Melara - (315) 424-1800,1654 W. Onondaga St.
Cayuga Centers,Human Services Organizatio...,www.cayugacenters.org,Mr. Edward Hayes - (315) 253-5383,101 Hamilton Ave.
Cayuga County Chamber of Commerce,Associations,www.cayugacountychamber.com,Ms. Amy Fuller - (315) 252-7291,2 State St.
Cayuga Economic Development Agency,Economic Development Agenc...,www.cayugaeda.org,Ms. Tracy Verrier - (315) 252-3500,2 State St.
CenterState CEO,"Associations, Business Services",www.centerstateceo.com,Mr. Robert Simpson - (315) 470-1800,115 W Fayette Street
Central Association for the Blind and Visually Impaired  (CABVI),Nonprofit Organizations,www.cabvi.org,Mr. Steve Gannon - (315) 797-2233,507 Kent St.
"Central New York Community Foundation, Inc.",Nonprofit Organizations,www.cnycf.org,Mr. Peter  A. Dunn - (315) 422-9538,"431 E. Fayette St., Ste. 100"
Central New York Sales & Marketing Executives,Associations,www.cnysme.org,Mr. Brooks Wright - (315) 876-1868,PO Box 5334
"Central New York School Boards Assoc., Inc.",Associations,www.cnysba.org,Mr. Charles Borgognoni - (315) 463-1904,"5788 Widewaters Pkwy., 1st Flr."
Century Club,Clubs,www.centuryclubofsyracuse.com,Mr. Michael  J. LaRosa - (315) 422-6161,480 James St.
Child Care Solutions,Child Care,www.childcaresolutionscny.org,Ms. Lori Schakow - (315) 446-1220,6724 Thompson Rd.
"Christopher Community, Inc.",Nonprofit Organizations,www.christopher-community.org,Mr. Douglas  J. Reicher - (315) 424-1821,990 James St.
Clean Communities of CNY,Nonprofit Organizations,www.cc-cny.com,Mr. Barry Carr - (315) 443-1203,3320 Rock Rose Cir.
Clear Path for Veterans,Nonprofit Organizations,www.clearpathforvets.com,Bethany Karaman - (315) 687-3300,1223 Salt Springs Rd.
CNY SHRM,Associations,www.cnyshrm.org,Ms. Cynthia Barnaby - (315) 431-9859,PO Box 5216
"Community Options New York, Inc. - Syracuse",Nonprofit Organizations,www.comop.org,Mr. Robert Haight - (607) 756-2814,216 W. Manlius St.
Cortland County Chamber of Commerce,Associations,www.cortlandareachamber.com,(315) 473-3275,37 Church St.
"Department of Business Development, City of Syracuse",Economic Development Agenc...,www.syrgov.net/neighborhood_and_business_development.aspx,Mr. Joseph  J. Geglia - (315) 446-6250,"201 E. Washington St., 6th Flr."
"Elmcrest Children's Center, Inc.",Human Services Organizatio...,www.elmcrest.org,Lennie Tucker - (315) 491-8328,960 Salt Springs Rd.
Felder Stadium,Nonprofit Organizations,www.felder-syracuse.org,Ms. Marilyn Oppedisano - (315) 451-4278,PO Box 11417
Finger Lakes NY Chapter NECA,Associations,www.flneca.org,Ms. Kathleen L. Stress - (315) 437-1899,"135 Old Cove Rd., Ste. 208"
Food Bank of Central New York,Nonprofit Organizations,www.foodbankcny.org,Mr. Timothy J. Mahar - (315) 422-7203,7066 Interstate Island Rd.
Foundation of the Roman Catholic Diocese of Syracuse,Nonprofit Organizations,www.syrdio.org,Mrs. Janet Agostini - (315) 435-8511,240 E. Onondaga St.
Friends of the Rosamond Gifford Zoo at Burnet Park,Nonprofit Organizations,www.rosamondgiffordzoo.org,Mr. Dirk Sonneborn - (315) 474-2489,One Conservation Place
Gifford Foundation,Nonprofit Organizations,www.giffordfoundation.org,Ms. Julie Dale - (315) 698-9400,"126 N. Salina St., 3rd Flr."
Girl Scouts NYPENN Pathways,Nonprofit Organizations,www.gsnypenn.org,Ms. Mary Anne Williams - (315) 638-0550,8170 Thompson Rd.
Greater Baldwinsville Chamber of Commerce,Associations,www.baldwinsvillechamber.com,Ms. Kathy Kitt - (315) 247-5992,27 Water St. #2
Greater Camillus Chamber of Commerce,Associations,www.camilluschamber.com,Ms. Anna Marie Neuland - (315) 655-9243,PO Box 415
Greater Cazenovia Area Chamber of Commerce,Associations,www.cazenoviachamber.com,Mr. John Annable - (315) 699-1358,59 Albany St.
Greater Cicero Chamber of Commerce,Associations,www.cicerochamber.com,Ms. Lucretia Hudzinski - (315) 457-3895,5071 E. Circle Dr. #302
"Greater Liverpool Chamber of Commerce, Inc.",Associations,www.liverpoolchamber.com,Ms. Jennifer Baum - (315) 637-4760,314 2nd St.
Greater Manlius Chamber of Commerce,Associations,www.manliuschamber.com,"Mr. Richard  E. Kline, CPCU, CLU, ChFC, FLMI - (315) 247-7767",425 E. Genesee St.
Greater North Syracuse Chamber of Commerce,Associations,http://www.plankroadchamber.com/,Ms. Royale Scuderi - (315) 363-4300,2621 Brewerton Rd.
Greater Oneida Chamber of Commerce,Associations,www.oneidachamberny.org,Ms. Katie Toomey - (315) 343-7681,136 Lenox Ave.
Greater Oswego-Fulton Chamber of Commerce,Associations,www.oswegofultonchamber.com,Mr. Dan Smith - (585) 244-1800,121 E. First St.
Greater Rochester Chamber of Commerce,Associations,www.greaterrochesterchamber.com,Ms. Lynnore Fetyko - (315) 457-5979,"150 S. State St., Ste. 400"
Greater Syracuse Association of Realtors,Associations,www.cnyrealtor.com,Mrs. Meghan Fraser McGrogan - (315) 724-3151,5958 E. Taft Rd.
Greater Utica Chamber of Commerce,Associations,www.greateruticachamber.org,Ms. Kylie S. Peck - (315) 788-4400,"520 Seneca St., Ste. 102"
Greater Watertown - North Country Chamber of Commerce,Associations,www.watertownny.com,Mrs. Mallory Coleman - (315) 706-2112,1241 Coffeen St.
