name,tags,website,namephno,add
ONEGROUP,"Insurance, Risk Management, Employee Benefits",www.onegroup.com,Mr. Pierre Morrisseau - (315) 457-1830,OneGroup Center
Visions Federal Credit Union,"Credit Unions, Loans Commercial",www.visionsfcu.org,Mr. Tyrone Muse - (315) 479-1580,24 McKinley Ave.
"ADP, LLC","Payroll Services, Human Resource Consultants, Time Recorders - Automated, Employee Benefits, Business Consultants",www.adp.com,Mr. Jenk Lagho - (800) 664-2671,445 Electronics Pkwy.
Affordable McLaughlin-Kehoe Insurance Agency,Insurance,www.amkagency.com,Mr. Jeffrey P. Kehoe - (315) 437-2821,225 W. Manlius St.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Ms. Monica Mosher - (800) 388-2000,7474 Oswego Rd.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Ms. Danielle Hatashita - (800) 388-2000,6414 State Rt. 31
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Mr. Mark Pfisterer - (800) 388-2000,6303 Thompson Rd.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Mr. Todd Stiles - (800) 388-2000,200 Walton St.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Mr. Alexander Gerson - (800) 388-2000,5212 W. Genesee St.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Ms. Heather Wood - (800) 388-2000,5439 N. Burdick St.
AmeriCU Credit Union ,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Mr. Kyle Halpin - (800) 388-2000,Whitney Center for Applied Technology at OCC
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Mr. Fred Agerter - (800) 388-2000,82 Albany St.
AmeriCU Credit Union,Credit Unions,www.americu.org,Ms. Candace Reeves - (800) 388-2000,295 Grant Ave.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Ms. Rachel Siderine - (800) 388-2000,280 Genesee St.
AmeriCU Credit Union,Credit Unions,www.americu.org,Mr. Kaleb Wilson - (800) 388-2000,"3944 NY-281, Ste. 15"
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Ms. Heather Willson - (800) 388-2000,1916 Black River Blvd.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Ms. Jackie Emma - (800) 388-2000,231 Hill Rd.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Ms. Ellen Traub - (800) 388-2000,4957 Commercial Dr.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Mr. Mark Pfisterer - (800) 388-2000,"224 N. Genesee St., Ste. 3"
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Insurance, Mortgages, Financial Services",www.americu.org,Mr. Eric Tupper - (800) 388-2000,7394 Utica Blvd.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Ms. Rebecca Mabry - (800) 388-2000,871 Arsenal St.
AmeriCU Credit Union,"Credit Unions, Employee Benefits, Loans Commercial, Financial Consultants Plan..., Financial Services, Insurance, Mortgages",www.americu.org,Mr. Mike Cook - (800) 388-2000,EFK Plaza
AmeriCU Credit Union,Credit Unions,www.americu.org,Ms. Tina Lanier - (800) 388-2000,10750 Enduring Freedom Dr.
AXA,Financial Services,www.axa.com,Ms. Susan LaVallee - (315) 477-3000,100 Madison St.
"AXA Advisors, LLC",Investment Advisory Servic...,www.empirestate.axa-advisors.com,Mr. Joseph  A. DiMora - (315) 425-6346,"120 Madison St., Ste. 1900"
Bank of America Merrill Lynch,Banks,www.bankofamerica.com,Mr. Michael W. Brunner - (315) 477-5826,205 S. Salina St.
Bankers Healthcare Group,Financial Services,www.bankershealthcaregroup.com,Mr. Albert Crawford - (866) 588-7910,201 Solar St.
Berkshire Bank,Banks,www.berkshirebank.com,Ms. Marianne Herne - (315) 432-8423,6788 Northern Blvd.
Berkshire Bank,Banks,www.berkshirebank.com,Mr. Christopher Papayanakos - (315) 433-0111,6611 Manlius Center Rd.
"Blue Ocean Strategic Capital, LLC",Investment Advisory Servic...,www.boscllc.com,Mr. Theodore J. Sarenski - (315) 471-2672,"333 W. Washington St., Ste. 220"
"Blue Water Capital Management, LLC",Investment Advisory Servic...,www.bluewatercm.com,"Mr. Stephen D. Swift, ChFC - (315) 432-4983","1001 James St., 2nd Flr."
BNY Mellon,Banks,www.bnymellon.com,Mr. Francis Behlmer - (315) 765-4700,6023 Airport Rd.
Bonsai Finance.com Inc.,Financial Services,www.bonsaifinance.com,Mr. Britton Smith - (888) 790-0783,"235 Harrison St., MD 15"
"Bowers & Company CPAs, PLLC",Accountants Certified Publ...,www.bcpllc.com,"Mr. Carl  I. Austin, Jr., CPA - (315) 234-1100",1700 AXA Tower II
"Brackens Financial Solutions Network, LLC",Financial Services,www.brackensfsn.com,"Ms. Vicki  R. Brackens, ChFC - (315) 930-4499","333 W. Washington St., Ste. 220"
Brown & Brown Empire State,Insurance,www.bbempirestate.com,Mr. Nicholas  J. Dereszynski - (315) 474-3374,"500 Plum St., Ste. 200"
"C.H. Insurance Brokerage Services Co., Inc./C.H. Benefits Co., Inc.",Insurance,www.chinsurance.cc,"Mr. Joseph Convertino, Sr. - (315) 234-7500",The Atrium Bldg.
"Cadaret, Grant & Co., Inc.",Financial Services,www.cadaretgrant.com,Mr. Arthur  F. Grant - (315) 471-2191,"One Lincoln Center, 5th Flr."
Chase,Banks,www.chase.com,Mr. John Huhtala - (315) 448-1426,"500 Plum St., 7th Flr."
"ChoicePay, Inc.",Payroll Services,www.choicepaypayroll.com,Mr. Nicholas Beiter - (315) 437-4601,6311 Fly Rd.
Citizens Bank - NY,Banks,www.citizensbank.com,Ms. Katrina Patrick - (315) 622-1294,7541 Oswego Rd.
Citizens Bank - NY,Banks,www.citizensbank.com,Ms. Heather Calabria - (315) 458-8723,5701 E. Circle Dr.
Citizens Bank - NY,Banks,www.citizensbank.com,Ms. Heather Calabria - (315) 699-3672,7941 Brewerton Rd.
Citizens Bank - NY,Banks,www.citizensbank.com,Ms. Laurie Sweeney - (315) 699-7133,8064 Brewerton Rd.
Citizens Bank - NY,Banks,www.citizensbank.com,Mr. J. Theodore Smith - (315) 385-2455,One Lincoln Center
Citizens Bank - NY,Banks,www.citizensbank.com,Ms. Nichole Raner - (315) 487-3446,3524 W. Genesee St.
Citizens Bank - NY,Banks,www.citizensbank.com,Branch Manager - (315) 423-9248,4713 Onondaga Blvd.
Citizens Bank - NY,Banks,www.citizensbank.com,Mr. Kevin Westcott - (315) 446-3131,2515 Erie Blvd. E.
Citizens Bank - NY,Banks,www.citizensbank.com,Mr. Brian Crandall - (315) 449-3019,6770 E. Genesee St.
Citizens Bank - NY,Banks,www.citizensbank.com,Mr. John Barbano - (315) 363-9390,1050 Glenwood Shopping Plaza
Citizens Bank - NY,Banks,www.citizensbank.com,Ms. Jean Coleman - (315) 716-0106,89 Oriskany Blvd.
Citizens Bank - NY,Banks,www.citizensbank.com,Ms. Heather Reed - (315) 797-2150,266 Genesee St.
Citizens Bank - NY,Banks,www.citizensbank.com,Mr. Michael Hare - (315) 331-1830,711 W. Miller St.
Citizens Bank - NY,Banks,www.citizensbank.com,Ms. Tammy Smith - (315) 866-3290,324 Prospect St.
CNY Accounting & Tax Pros,"Accountants Certified Publ..., Accounting Services",www.cnyaccountingtaxpros.com,"Mr. Kurt Behrenfeld CPA, MBA, CMA, CIA, CIRM - (607) 423-0577",7 Hickory Ln.
Cocard Anderson/B2GX,Credit Card Companies,www.cocardanderson.com,Mr. Scott Owsiany - (315) 414-0107,"5858 E. Molloy Rd., Ste. 151"
Columbian Financial Group,Insurance,www.cfglife.com,Mr. Patrick  A. Mannion - (315) 448-7231,PO Box 1056
"Community Bank, N.A. Hannibal",Finance and/or Insurance,www.communitybankna.com,Ms. Debra Davis - (315) 564-5118,343 Church St.
"Community Bank, NA",Banks,www.communitybankna.com,Ms. Denise Cavallo - (315) 288-2000,5966-5968 State Rt. 31
"Community Bank, NA",Banks,www.communitybankna.com,Mr. Robert Liedka - (315) 449-0353,5821 Bridge St.
"Community Bank, NA","Banks, Loans Commercial",www.communitybankna.com,Mr. Joseph  F. Serbun - (315) 445-2282,5790 Widewaters Pkwy.
"Community Bank, NA",Banks,www.communitybankna.com,Ms. Tina Stephens - (315) 592-4234,One S. First St.
"Community Bank, NA",Banks,www.communitybankna.com,Ms. Desiree Murphy - (315) 685-8324,One E. Genesee St.
"Community Bank, NA",Banks,www.communitybankna.com,Ms. Tiesha Combes - (315) 626-2132,2516 W. Main St.
"Community Bank, NA",Banks,www.communitybankna.com,Ms. Debra Davis - (315) 564-5118,343 Church St.
"Community Bank, NA",Banks,www.communitybankna.com,Mr. Fred Aldrich - (315) 343-1410,100 E. First St.
"Community Bank, NA",Banks,www.communitybankna.com,Mr. Steven Gaffney - (315) 298-5145,4854 N. Jefferson St.
"Community Bank, NA",Banks,www.communitybankna.com,Mr. Michael Pizzola - (315) 497-3047,105 Main St.
"Community Bank, NA",Banks,www.communitybankna.com,Mr. Michael MacDonald - (607) 272-4880,200 E. Buffalo St.
Compass Federal Credit Union,Credit Unions,www.compassfcu.com,Mr. Tom O'Toole - (315) 593-8443,23 Canalview Mall
Countryside Federal Credit Union,Credit Unions,www.countryside.org,Mr. Gerd Henjes - (315) 445-2300,5720 Commons Park Dr.
Crouse Federal Credit Union,Credit Unions,www.crousefcu.com,Ms. Donna Ladley - (315) 470-7928,730 S. Crouse Ave.
"Crown Risk Management, LLC","Risk Management, Insurance, Employee Benefits, Financial Services",www.crownrisk.com,Ms. Jean Sabourin - (315) 428-3830,"432 N. Franklin St., Ste. 20"
