name,tags,website,namephno,add
A.A.A. Exterminators/The Critter Ridders,Pest Control,www.critterridders-cny.com,Mr. Bill Shirtz - (315) 469-7766,6315 S. Salina St.
"Absolute Home Inspection, Inc.",Home Inspections,www.absolutehomeinspection.com,Mr. Tom Sherman - (315) 673-1755,3910 Brewerton Rd.
Bath Fitter of Syracuse,Bathtubs & Sinks - Rep...,www.bathfitter.com,Mr. Christopher Fox - (315) 432-5072,6308 Fly Rd.
"Bowers Development, LLC","Construction, Real Estate, Rental and/or...",www.aeccgroup.com,Mr. Michael Licata - (315) 929-0007,300 Crestwood Dr.
Brightside Home Inspections,Home Inspections,www.brightsidehomeinspections.com,Mr. Scott Brown - (315) 372-0965,6308 Fly Rd.
"Building Development Solutions, Inc. (BDS)",Construction,www.aeccgroup.com,Mr. Jontomas Bixby - (315) 760-4656,65 N. Second St.
Burke's Home Centers,Building Materials and/or...,www.burkes.doitbest.com,Mr. Charles Handley - (315) 592-2244,110 Baker St.
"Busch Products, Inc.-Granite/Quartz/Solid Surface, WBE",Counter Tops,www.buschproducts.com,Ms. Darlene  L. Brown - (315) 474-8422,5210 W. Taft Rd.
Cannon Pools and Spas,"Swimming Pools, Equipment,...",www.cannonpools.com,Mr. Clifford Malzman - (315) 458-3150,"360 Grant Ave., Ste. 102"
"Case Supply, Inc.",Home Improvements,www.casesupplyinc.com,Ms. Terry Hood - (315) 425-1818,601 W. Fayette St.
"Case Supply, Inc.",Home Improvements,www.casesupplyinc.com,Ms. Shannon Harvey - (315) 425-1801,PO Box 2251
"Custom Lawn-Scapes, Inc.","Landscape Contractors, Snowplowing, Lawn & Garden Maintena...",www.customlawn-scapes.com,Mr. Paul Fried - (315) 458-4921,219 Pleasantview Ave.
Home Sweet Home Construction & Property Maintenance,Home Improvements,www.lawnstarter.com/syracuse-ny-lawn-care,Mr. Dave Weinberg - (315) 807-9767,1510 N. Salina St.
LawnStarter,Lawn & Garden Maintena...,www.onondagaflooring.com,Mr. Jay Betts - (315) 870-1967,4800 Solvay Rd.
"Onondaga Flooring, Inc.",Carpet & Floor Coverin...,www.richandgardener.com,Mr. Scott Perry - (315) 471-2243,206 Plum St.
Premier Hardwood Products,Hardwood Flooring,www.romatileny.com,Mr. Brigham Booher - (315) 492-4006,306 Wolf St.
"Rich & Gardner Construction Company, Inc.",Construction,www.servpronorthonondagacounty.com,Ms. Jennifer Colacicco - (315) 474-1900,6800 Northern Blvd.
"Roma Tile Co., Inc.","Tile-Ceramic-Dealers, Granite, Counter Tops",www.twoplusfour.com,Mr. Nick Romagno - (315) 471-7856,6737 Myers Rd.
Servpro of N&E Onondaga & of Oswego County,"Disaster Restoration, Fire & Water Damage Re..., Carpet Cleaning, Duct Cleaning, Mold Inspection & Reme...",www.unitedradio.com,(315) 457-3432,5703 Enterprise Pkwy.
name,tags,website,namephno,add
A.A.A. Exterminators/The Critter Ridders,Pest Control,www.critterridders-cny.com,Mr. Bill Shirtz - (315) 469-7766,6315 S. Salina St.
"Absolute Home Inspection, Inc.",Home Inspections,www.absolutehomeinspection.com,Mr. Tom Sherman - (315) 673-1755,3910 Brewerton Rd.
Bath Fitter of Syracuse,Bathtubs & Sinks - Rep...,www.bathfitter.com,Mr. Christopher Fox - (315) 432-5072,6308 Fly Rd.
"Bowers Development, LLC","Construction, Real Estate, Rental and/or...",www.aeccgroup.com,Mr. Michael Licata - (315) 929-0007,300 Crestwood Dr.
Brightside Home Inspections,Home Inspections,www.brightsidehomeinspections.com,Mr. Scott Brown - (315) 372-0965,6308 Fly Rd.
"Building Development Solutions, Inc. (BDS)",Construction,www.aeccgroup.com,Mr. Jontomas Bixby - (315) 760-4656,65 N. Second St.
Burke's Home Centers,Building Materials and/or...,www.burkes.doitbest.com,Mr. Charles Handley - (315) 592-2244,110 Baker St.
"Busch Products, Inc.-Granite/Quartz/Solid Surface, WBE",Counter Tops,www.buschproducts.com,Ms. Darlene  L. Brown - (315) 474-8422,5210 W. Taft Rd.
Cannon Pools and Spas,"Swimming Pools, Equipment,...",www.cannonpools.com,Mr. Clifford Malzman - (315) 458-3150,"360 Grant Ave., Ste. 102"
"Case Supply, Inc.",Home Improvements,www.casesupplyinc.com,Ms. Terry Hood - (315) 425-1818,601 W. Fayette St.
