name,tags,website,namephno,add
Advanced Automation Corporation,"Engineering Design & M..., Engineers, Engineers Consulting",www.aac-usa.com,Mr. Robert Clancy - (315) 336-2071,Mill Pond Landing
Advanced Automation Corporation,"Engineers Consulting, Engineers, Engineering Design & M...",www.aac-usa.com,Mr. Robert Clancy - (315) 336-2071,201 Mill St.
AGB International Mgt. Corp.,Exporters & Importers,www.agbintl.com,Mr. Abdallah Bseirani - (315) 445-2250,PO Box 238
"AHR Mechanical, Inc.",Heating Ventilating &...,www.airinnovations.com,Mr. Rolf  D. Friedman - (315) 668-6569,6205 E. Taft Rd.
"Air Innovations, Inc.","Air Conditioning Equipment..., Engineering Design & M...",www.airportlightingcompany.com,"Mr. Michael  L. Wetzel, P.E. - (315) 452-7400",7000 Performance Dr.
Airport Lighting Co.,Manufacturers,www.allseasonstextile.net,Mr. Jeff Ellerton - (315) 682-6460,108 Fairgrounds Dr.
"All Seasons Textile Service, Inc.",Mats & Matting,www.allentoolphoenix.com,Mr. Michael Ryan - (315) 853-1963,PO Box 222
Allen Tool Phoenix Inc.,Machine Shops,www.americandicing.com,Mrs. Cheryl  L. Maines - (315) 463-7533,6821 Ellicott Dr.
"American Dicing, Inc.",Semi Conductor Dicing,www.afvusa.com,Ms. Judy Carta - (315) 428-1200,7845 Maltlage Dr.
American Food & Vending Corp.,"Vending Machines, Coffee Service & Suppl...",www.anaren.com,Mr. Martin Wells - (315) 457-9950,124 Metropolitan Park Dr.
"Anaren, a TTM Technologies Company",Manufacturers,www.anoplate.com,Mr. Lawrence Sala - (315) 432-8909,6635 Kirkville Rd.
Anoplate Corporation,Plating,www.armouredone.com,Mr. Jim Stevenson - (315) 471-6143,459 Pulaski St.
Armoured One,"Security Systems Services..., Manufacturers",www.airiggers.com,Mr. Tino Amodei - (888) 559-5255,386 N. Midler Ave.
Associated Industrial Riggers Corp.,"Industrial Maintenance, Riggers",www.attisbiofuels.com,Mr. R. Jerry Sanders - (315) 437-2244,5854 Butternut Dr.
Attis Biofuels,Oils Fuel,www.empirebox.com,Mr. Tim Hardy - (315) 593-0500,376 Owens Rd.
B&B Albany Pallet,Manufacturers,www.biospherix.com,Mr. Brent Booher - (315) 492-1786,4800 Solvay Rd.
B&B Lumber Co.,Lumber,www.bitzer.de,Mr. Brigham Booher - (315) 492-1786,4800 Solvay Rd.
BCI Empire Division,"Boxes, Packaging Services",www.blakeequip.com,Mr. Jim Trombino - (315) 437-1181,151 Midler Park Dr.
BioSpherix,Manufacturers & Distri...,www.byrnehollowfarm.com,Mr. Randy Yerden - (315) 625-8025,25 Union St.
"BITZER Scroll, Inc.",A/C Refrigeration & He...,www.carrier.com,Mr. Peter Narreau - (315) 463-2101,6055 Court Street Rd.
Blake Equipment,"Boilers, Water Softening & Cond...",www.cathedralcandle.com,Mr. Ed Gilson - (315) 472-6311,6059 Corporate Dr.
Byrne Hollow Farm,"Manufacturers & Distri..., Beverage Distributors, Food Products Manufacturer...",www.centuryheating.net,Mr. Carl Byrne - (844) 528-2890,3156 Byrne Hollow Rd.
Carrier,Heating Ventilating &...,www.cintas.com,(315) 432-6000,6304 Carrier Pkwy.
Cathedral Candle Company,Candles Manufacturers,www.cityelectricweb.com,"Mr. Louis Steigerwald, III - (315) 422-9119",510 Kirkpatrick St.
"Century Heating & Air Conditioning, Inc.",Heating Ventilating &...,www.clintonsditch.com,Mr. David  M. Wildrick - (315) 414-0060,220 Boss Rd.
Cintas Corporation,"Uniforms Rental, Mats & Matting, Promotional Products, Janitorial Supplies",www.continentalblower.com,Mr. Dan Colantuoni - (315) 432-1888,7655 Henry Clay Blvd.
"City Electric Co., Inc.",Electrical Equipment &...,www.cplteam.com,Mr. Andrew Esce - (315) 474-7841,450 Tracy St.
"Clinton's Ditch Cooperative Co., Inc.",Bottling Companies,www.criticallink.com,Mr. Michael A. Moehringer - (315) 699-2695,8478 Pardee Rd.
"Continental Blower, LLC",Manufacturers,www.cryomech.com,Mr. Michael Malfitano - (315) 451-5410,"23 Corporate Cir., Ste. 1"
CPL,Engineering Design & M...,www.weareculligan.com,Mr. Rick Henry - (585) 454-7600,"205 St. Paul St., Ste. 500"
Critical Link,Engineering Design & M...,www.currierplastics.com,Ms. Amber Thousand - (315) 425-4045,6712 Brooklawn Pkwy.
"Cryomech, Inc.",Manufacturers,www.djgexports.com,Mr. Richard Dausman - (315) 455-2555,113 Falso Dr.
Culligan Water Conditioning,Water Softening & Cond...,www.danleemedical.com,Mr. Michael Karr - (315) 458-4000,126 Dwight Park Cir.
Currier Plastics,"Manufacturers, Plastics Molders",www.dentontsi.com,Mr. Michael Cartner - (315) 255-1779,101 Columbus St.
"D.J. Giancola Exports, Inc.",Exporters & Importers,www.dotfoods.com,Mr. Charles  C. Giancola - (315) 446-1002,PO Box 4
"Danlee Medical Products, Inc.",Medical Equipment & Su...,www.dumac.com,Ms. Joni  L. Walton - (315) 431-0143,"6075 E. Molloy Rd., Bldg. 5"
DentonTSI,Steel Fabricators,www.eaglemetalcraft.com,Mr. Stephen Palin - (315) 956-6041,7600 Morgan Rd.
Dot Foods,Wholesalers/Distributors,www.edisoninnovativepower.com/home,Ms. Molly Barber - (315) 457-4911,200 Monarch Dr.
"DUMAC Business Systems, Inc.",Cash Registers & Suppl...,www.endoglow.com,Mr. Howard McCarthy - (315) 463-1010,19 Corporate Cir.
"Eagle Metalcraft, Inc.",Metal Fabrication,www.endospacecorp.com,Mr. James Helmer - (315) 437-8323,3550 Burnet Ave.
Eaton's Crouse-Hinds Business,Electrical Equipment &...,www.farmtoflameenergy.com,Mr. Mike McManus - (315) 477-7000,1201 Wolf St.
"Edison Innovative Power, LLC","Energy Services, Engineering Design & M...",www.feldmeier.com,Mr. James Morrison - (315) 802-1200,PO Box 23
EndoGlow,Medical Equipment & Su...,www.felix-schoeller.com,Dr. Paula Doyle - (315) 273-0005,841 E. Fayette St.
