name,tags,website,namephno,add
"4R, LLC",Recycling,www.4rusa.com,Mr. John C. Mansfield - (201) 815-0160,PO Box 700
"Anchor QEA, LLC",Environmental Consultants,www.anchorqea.com,"Dr. James Rhea, Ph.D. - (315) 453-9009","290 Elwood Davis Rd., Ste. 340"
Asbestos & Environmental Consulting Corp (AECC),"Environmental Consultants, Asbestos Lead Removal...",www.aeccgroup.com,Mr. Jeff Cooper - (315) 432-9400,6308 Fly Rd.
Brookfield Renewable,Utilities,www.brookfieldrenewable.com,Ms. Julie Pelletier - (518) 615-9357,399 Big Bay Rd.
C.T. Male Associates,"Surveyors, Engineers Civil, Environmental Consultants",www.ctmale.com,Mr. David Uhrinec - (315) 458-6498,"200 Gateway Pk., Bldg. C"
"CNY Resource Recovery, Inc.",Recycling,www.cnyresourcerecoveryinc.com,Mr. Russell Gower - (315) 471-0254,5879 Firestone Dr.
Covanta,Waste Management,www.covanta.com,Ms. Kathleen Carroll - (315) 498-4111,5801 Rock Cut Rd.
"Dig Safely New York, Inc.",Utilities,www.digsafelynewyork.com,Mr. Kevin S. Hopper - (315) 437-7394,6706 Collamer Rd.
Great Lakes Recycling,Recycling,www.morganrubbish.com,"Mr. Dan Dorsey, Jr. - (315) 343-1980",PO Box 1035
"Morgan Rubbish Removal, Inc./Dependable Disposal",Rubbish & Garbage Remo...,www.nationalgridus.com,Mr. Steven Morgan - (315) 689-9588,6948 Herman Rd.
National Grid,Utilities,www.oconnellelectric.com,Ms. Melanie  W. Littlejohn - (315) 452-7660,7496 Round Pond Rd.
O'Connell Electric Co.,"Electrical Contractors, Communication, Electrical Testing",www.ocrra.org,Mr. Donald Coon - (315) 437-1453,7001 Performance Dr.
Onondaga County Resource Recovery Agency (OCRRA),Waste Management,www.ocwa.org,Ms. Dereth Glance - (315) 453-2866,100 Elwood Davis Rd.
Onondaga County Water Authority,Utilities,www.empirerecycling.com,Mr. Michael Hooker - (315) 455-7061,PO Box 4949
SMR Fibre,Recycling,www.superiorplusenergy.com,Mr. John Easton - (315) 453-2800,4642 Crossroads Park Dr.
Superior Plus Energy,"Oils Fuel, Propane Gas Equipment...",www.synapsellc.com,Ms. Laura Zucco - (315) 474-7531,7124 State Fair Blvd.
"Synapse Services, LLC","Insurance, Risk Management, Environmental Consultants, Real Estate Consultants",Board of Directors,Mr. Brian Macrae - (315) 475-3700,360 Erie Blvd. E.
"Waste Management of  New York, LLC",Rubbish & Garbage Remo...,Staff Directory,Mr. Jim Spagnola - (315) 457-0003,4521 Steelway Blvd N.
WM Recycle America,Recycling,Partners & Programs,Mr. Robert Comi - (315) 461-9323,4550 Steelway Blvd. S.
name,tags,website,namephno,add
"4R, LLC",Recycling,www.4rusa.com,Mr. John C. Mansfield - (201) 815-0160,PO Box 700
"Anchor QEA, LLC",Environmental Consultants,www.anchorqea.com,"Dr. James Rhea, Ph.D. - (315) 453-9009","290 Elwood Davis Rd., Ste. 340"
Asbestos & Environmental Consulting Corp (AECC),"Environmental Consultants, Asbestos Lead Removal...",www.aeccgroup.com,Mr. Jeff Cooper - (315) 432-9400,6308 Fly Rd.
Brookfield Renewable,Utilities,www.brookfieldrenewable.com,Ms. Julie Pelletier - (518) 615-9357,399 Big Bay Rd.
C.T. Male Associates,"Surveyors, Engineers Civil, Environmental Consultants",www.ctmale.com,Mr. David Uhrinec - (315) 458-6498,"200 Gateway Pk., Bldg. C"
"CNY Resource Recovery, Inc.",Recycling,www.cnyresourcerecoveryinc.com,Mr. Russell Gower - (315) 471-0254,5879 Firestone Dr.
Covanta,Waste Management,www.covanta.com,Ms. Kathleen Carroll - (315) 498-4111,5801 Rock Cut Rd.
"Dig Safely New York, Inc.",Utilities,www.digsafelynewyork.com,Mr. Kevin S. Hopper - (315) 437-7394,6706 Collamer Rd.
Great Lakes Recycling,Recycling,www.morganrubbish.com,"Mr. Dan Dorsey, Jr. - (315) 343-1980",PO Box 1035
"Morgan Rubbish Removal, Inc./Dependable Disposal",Rubbish & Garbage Remo...,www.nationalgridus.com,Mr. Steven Morgan - (315) 689-9588,6948 Herman Rd.
National Grid,Utilities,www.oconnellelectric.com,Ms. Melanie  W. Littlejohn - (315) 452-7660,7496 Round Pond Rd.
O'Connell Electric Co.,"Electrical Contractors, Communication, Electrical Testing",www.ocrra.org,Mr. Donald Coon - (315) 437-1453,7001 Performance Dr.
Onondaga County Resource Recovery Agency (OCRRA),Waste Management,www.ocwa.org,Ms. Dereth Glance - (315) 453-2866,100 Elwood Davis Rd.
Onondaga County Water Authority,Utilities,www.empirerecycling.com,Mr. Michael Hooker - (315) 455-7061,PO Box 4949
SMR Fibre,Recycling,www.superiorplusenergy.com,Mr. John Easton - (315) 453-2800,4642 Crossroads Park Dr.
Superior Plus Energy,"Oils Fuel, Propane Gas Equipment...",www.synapsellc.com,Ms. Laura Zucco - (315) 474-7531,7124 State Fair Blvd.
"Synapse Services, LLC","Insurance, Risk Management, Environmental Consultants, Real Estate Consultants",Board of Directors,Mr. Brian Macrae - (315) 475-3700,360 Erie Blvd. E.
"Waste Management of  New York, LLC",Rubbish & Garbage Remo...,Staff Directory,Mr. Jim Spagnola - (315) 457-0003,4521 Steelway Blvd N.
WM Recycle America,Recycling,Partners & Programs,Mr. Robert Comi - (315) 461-9323,4550 Steelway Blvd. S.
