name,tags,website,namephno,add
"Granger Construction Company, Inc.","Construction Commercial..., Construction Design &..., Construction Management, Construction General, Contractors General, Contractors Design & B...",www.grangercompanies.com,Mr. Donald  R. Kowell - (315) 463-2700,"6701 Manlius Center Rd., Ste. 215"
AceTrust Solutions,Property Maintenance,www.acetrustsolutions.com,Mr. Charles Page - (315) 401-0052,145 Naymik Dr.
Acropolis Realty Group,Real Estate Development...,www.acropolisrealtygroup.com,Mr. Stephen F. Case - (315) 396-0493,"247 W. Fayette St., Ste. 315"
"Air Temp Heating & Air Conditioning, Inc.",Heating & A/C Contract...,www.airtemphvac.com,"Mr. William  A. Phillips, Jr. - (315) 432-8591",6820 Ellicott Dr.
AmTrust Realty Corp.,Real Estate,www.ancorinc.com,Mr. Nathan Aber - (212) 619-6930,"250 Broadway, 30th Flr."
"AnCor, Inc.",Contractors Design & B...,www.appelosborne.com,Mr. Joseph  G. Anthony - (315) 233-1300,"831 James St., 2nd Flr."
Appel Osborne Landscape Architecture,Landscape Architects,www.appleroofing.com,Ms. Linda Scott - (315) 476-1022,"5788 Widewaters Pkwy., 1st Flr."
Apple Roofing Corp.,Roofing Contractors,www.aeccgroup.com,Mr. David Dietz - (315) 463-5482,124 Pickard Dr. E.
Armory Square Ventures,Real Estate,www.atlantictesting.com,Mr. Somak Chattopadhyay - (315) 221-9016,"211 W. Jefferson St., 2nd Flr."
Asbestos & Environmental Consulting Corp (AECC),"Environmental Consultants, Asbestos Lead Removal...",www.averyrentalproperties.com,Mr. Jeff Cooper - (315) 432-9400,6308 Fly Rd.
Atlantic Testing Laboratories Limited,"Laboratories Testing, Engineers Geotechnical, Mold Inspection & Reme...",www.barnesandcone.com,Ms. Marijean Remington - (315) 386-4578,PO Box 29
Avery Rental Properties,"Real Estate Rentals, Property Management &..., Construction Residential",www.basementwaterproofinginc.com,Mr. Atom Avery - (315) 343-5005,130 W. 5th St.
"Barnes & Cone, Inc.",Concrete Building Products,www.bhhscnyrealty.com,Mr. Rick Roach - (315) 437-0305,5894 Court Street Rd.
"Basement Waterproofing, Inc.",Waterproofing Contractors,www.bhhscnyrealty.com,Mr. James Cobb - (315) 336-4951,PO Box 4173
Berkshire Hathaway CNY Realty,Real Estate,www.bhhscnyrealty.com,Mr. Daniel  J. Hartnett - (315) 218-1480,7575 Buckley Rd.
Berkshire Hathaway CNY Realty,Real Estate,www.bhhscnyrealty.com,Mr. Daniel  J. Hartnett - (315) 218-7171,5099 W. Genesee St.
Berkshire Hathaway CNY Realty,Real Estate,www.bhhscnyrealty.com,Mr. Daniel  J. Hartnett - (315) 373-0440,6868 E. Genesee St.
Berkshire Hathaway CNY Realty,Real Estate,www.bhhscnyrealty.com,Mr. Daniel  J. Hartnett - (315) 815-5111,56 Albany St.
Berkshire Hathaway CNY Realty,"Real Estate, Real Estate, Rental and/or...",www.besttile.com,Mr. Daniel  J. Hartnett - (315) 343-6666,17 W. Cayuga St.
Berkshire Hathaway CNY Realty,Real Estate,www.bobcatofcny.com,Mr. Daniel  J. Hartnett - (315) 232-7355,10412 US Rt. 11
"Best Tile Distributors Of Syracuse, Inc.",Tile-Ceramic-Dealers,www.bontonglass.com,Mr. Jim Rose - (315) 437-1606,5891 Firestone Dr.
Bobcat of Central New York a Thompson and Johnson Equipment Co.,"Construction Equipment..., Rental Services",www.aeccgroup.com,Mr. Brian Hill - (315) 437-2829,6926 Fly Rd.
"Bon-Ton of Syracuse, Inc.",Windows & Doors Commer...,www.bowers-development.com,Mr. Michael  L. Tyrrell - (315) 476-3107,459 Burnet Ave.
"Bowers Development, LLC","Construction, Real Estate, Rental and/or...",www.bwllc.com,Mr. Michael Licata - (315) 929-0007,6308 Fly Rd.
"Bowers Development, LLC","Construction Commercial..., Real Estate Development...",www.aeccgroup.com,Mr. Michael Licata - (315) 929-0007,6308 Fly Rd.
"Brine Wells, Inc.",Property Management &...,www.bbcontractors.com,"Mr. Ed Riley, RA - (315) 424-6091",205 S. Townsend St.
"Building Development Solutions, Inc. (BDS)",Construction Commercial...,www.cscos.com,Mr. Jontomas Bixby - (315) 760-4656,6308 Fly Rd.
Burns Bros. Contractors,Mechanical Contractors,www.ctmale.com,Mr. David Burns - (315) 422-0261,400 Leavenworth Ave.
C&S Companies,"Engineers Consulting, Construction Management, Mechanical Contractors, Architects, Cranes Rental & Leasin..., Plumbing Contractors",www.cameronllc.com,Mr. Orrin  B. MacMurray - (315) 455-2000,499 Col. Eileen Collins Blvd.
C.T. Male Associates,"Surveyors, Engineers Civil, Environmental Consultants",www.cbdcos.com,Mr. David Uhrinec - (315) 458-6498,"200 Gateway Pk., Bldg. C"
"Cameron Group, LLC","Real Estate Development..., Real Estate Leasing",www.cbre.com/syracuse,Mr. Tom Valenti - (315) 362-8800,"210 Township Blvd., Ste. 20"
"CBD Companies of CNY, LLC","Construction Commercial..., Construction General, Construction Management, Real Estate Brokers, Real Estate Leasing, Real Estate Management",www.chimeraintegrations.com,Mr. Charles Sangster - (315) 295-1900,"100 Madison St., Ste. 1200"
CBRE/Syracuse,Real Estate Commercial,www.ericrschuster.com,Mr. Peter Finn - (315) 422-4200,Nettleton Commons
"CF Investors, Ltd.",Real Estate Development...,www.cobblestoneapt.com,Mr. Richard  K. Clark - (315) 697-2278,3724 Marguerite Dr.
"Chimera Integrations, LLC","Security Systems Services..., Access Control, Electronic Security &..., Fire Alarm Systems",www.coldwellbankerprime.com,Mr. Casey White - (315) 849-2080,"6035 E. Taft Rd., Ste. 102"
CNY SERVICE Home Team @Keller Williams Syracuse,Real Estate,www.16thavenueinc.com,Mr. Eric Schuster - (315) 701-6991,5701 Enterprise Pkwy.
Cobblestone Square Apartments LLC,Apartments,www.corcompanies.com,Ms. Deanna Johnston - (315) 699-5204,A-3 36112 Cobblestone Dr.
Coldwell Banker Prime Properties,Real Estate Brokers,www.crossbrosplumbing.com,Ms. Debbie Kallfelz - (315) 622-0161,"8233 Park Ridge Path, Ste. 1"
Commonspace,Real Estate Development...,www.pyramidbrokerage.com,Mr. Troy Evans - (315) 525-9838,"201 E. Jefferson St., Ste. 200"
"COR Development Company, LLC","Real Estate Development..., Shopping Malls/Shopping Ce..., Hotels & Motels, Property Management &..., Professional Services",www.customlawn-scapes.com,Ms. Catherine Keib Johnson - (315) 663-2100,540 Towne Dr.
"Cross Bros. Plumbing, Inc.",Plumbing Contractors,www.dndruckerltd.com,Mr. Robert Olrich - (315) 492-1998,PO Box 507
"Cushman & Wakefield/Pyramid Brokerage Company, Inc.","Real Estate, Real Estate Commercial, Real Estate Consultants",www.destefanodevelopment.com,"Mr. John  L. Clark, SIOR, CRE - (315) 445-1030",5786 Widewaters Pkwy.
"Custom Lawn-Scapes, Inc.","Landscape Contractors, Snowplowing, Lawn & Garden Maintena...",www.diamondandthiel.com,Mr. Paul Fried - (315) 458-4921,PO Box 2251
"D.N. Drucker, Ltd.",Real Estate,www.diamondroofing.com,Mr. David Drucker - (315) 445-9914,3175 E. Genesee St.
DeStefano Development LLC,Real Estate Development...,www.godoyle.com,Mr. Donald DeStefano - (315) 454-8552,411 Cambridge Ave.
"Diamond & Thiel Construction Co., Inc.",Construction Commercial...,www.esmithcontractors.com,Ms. Theresa Brillo - (315) 458-4850,408 N. Midler Ave.
"Diamond Roofing Co., Inc.",Roofing Contractors,www.east-coast-properties.com,Mr. Donald A. DeStefano - (315) 454-3291,411 Cambridge Ave.
"Doyle Security Systems, Inc.","Security Systems Services..., Fire Alarm Systems",www.schalkandson.com,Mr. Dan Wager - (315) 428-9888,"24 Corporate Cir., Ste. 1"
Dubnoff/Koldin Realty Co.,Real Estate,www.energysaverscny.com,Mr. Ira Dubnoff - (315) 637-3850,7114 Thorntree Hill Dr.
"E. Smith Contractors, LLC","Construction Commercial..., Contractors General",www.edrdpc.com,Mr. Eli M. Smith - (315) 802-7704,"731 James St., Ste. 223A"
East Coast Properties,Apartments,www.edrdpc.com,Mr. David  J. Valenti - (315) 622-2740,PO Box 949
"Edward Schalk & Son, Inc.",Interior Contractors,www.eriematerials.com,Mr. John Schalk - (315) 437-3308,6801 Myers Rd.
"Efficient Technologies, Inc.",Insulation Contractors,www.askfitz.com,Mr. Robert Tew - (315) 677-7702,5912 Commane Rd.
"Energy Savers, Inc.",Insulation Contractors,www.fivestarequipment.com,Mr. Bruce McClean - (315) 437-3008,203B Bagg St.
"Environmental Design & Research, Landscape Architecture, Engineering & Environmental Services, D.P.C.","Landscape Architects, Engineers Civil",www.flaummgt.com,Ms. Joanne Stewart - (315) 471-0688,"217 Montgomery St., Ste. 1000"
"Environmental Design & Research, Landscape Architecture, Engineering & Environmental Services, D.P.C. ","Landscape Architects, Engineers Civil",www.suttoncos.com,Ms. Joanne Stewart - (585) 271-0040,"274 N. Goodman St., Ste. B260"
"Erie Materials, Inc.",Building Materials,www.gypsumwholesalers.com,Mr. Chris Neumann - (315) 455-7434,PO Box 476
FitzGibbons Agency,"Real Estate, Insurance",www.hawthornepropertyservice.com,Mr. John FitzGibbons - (315) 342-5000,44 E. Bridge St.
"Five Star Equipment, Inc.","Office Equipment, Construction Equipment...",www.healthway.com,Mr. Timothy Hunt - (315) 452-4560,6500 E. Taft Rd.
Flaum Management Company Inc./ Onondaga Galleries Corporation,Real Estate Development...,www.hjcoinc.com,Mr. Darren  A. Ressler - (585) 546-4866,"400 Andrews St., Ste. 500"
"Franklin Properties, LLC",Real Estate Development...,www.heritagehomescny.com,Mr. Doug Sutherland - (315) 475-7499,221 W. Division St.
"Gypsum Wholesalers, Inc",Building Materials,www.hbrcny.com,Mr. John Malec - (315) 451-5322,3334 Walters Rd.
"Hawthorne Property Services, LLC",Property Maintenance,www.horncompanies.com,Mr. Raymond Carney - (315) 516-3249,PO Box 547
HealthWay ,Air Purification Systems,www.housingvisions.org,Ms. YinYin Blodgett - (315) 298-2904,3420 Maple Ave.
"Henderson-Johnson Co., Inc.","Interior Contractors, Roofing Contractors",www.hueber-breuer.com,Mr. Thad Collum - (315) 479-5561,918 Canal St.
Heritage Homes,Home Builders Custom,www.huenelectric.com,Mr. Dan Bargabos - (315) 451-4980,7519 Morgan Rd.
Home Builders & Remodelers of Central New York,"Associations, Construction Residential",www.huntrealestate.com,"Ms. Mary  M. Gohl-Thompson, CMP - (315) 463-6261",3675 James St.
Horn Companies,Real Estate Commercial,www.huntrealestate.com,Mr. Tom Hornstein - (315) 569-4345,6194 Thompson Rd.
Housing Visions Construction Company,"Construction Residential, Nonprofit Organizations",www.huntrealestate.com,Mr. Ben Lockwood - (315) 472-3820,1201 E. Fayette St.
"Hueber-Breuer Construction Co., Inc.","Construction Commercial..., Construction Management, Contractors Design & B..., Contractors General, Real Estate Development...",www.huntrealestate.com,Mr. Andy Breuer - (315) 476-7917,PO Box 515
Huen New York,"Electrical Contractors, Contractors Design & B..., Contractors Industrial Com..., Security Systems Services...",www.hyde-stone.com,Mr. Don Colvin - (315) 432-5060,6695 Old Collamer Rd.
Hunt Real Estate ERA,Real Estate,www.jfrealestate.com,Mr. Dave Evans - (315) 622-5757,8196 Oswego Rd.
Hunt Real Estate ERA,Real Estate,www.jpwcompanies.com,Mr. Terry Quigg - (315) 488-2926,5350 W. Genesee St.
Hunt Real Estate ERA,Real Estate,www.kmeyerlandscape.com,Mr. Timothy  A. Cassavaw - (315) 446-4681,6849 E. Genesee St.
