name,tags,website,namephno,add
SWBR,"Architects, Interior Designers",www.swbr.com,"Mr. Matthew D. Lupiani AIA, NCARB, LEED® AP, BD & C - (315) 488-5635",309 S. Franklin St.
"Altenew, LLC",Art Materials & Suppli...,www.altenew.com,Mr. Nabil Rab - (315) 478-3639,6179 E. Molloy Rd.
Battery World,Batteries,www.batteryworldsyracuse.com,Mr. Bob Giardina - (315) 437-1404,5820 E. Molloy Rd.
Beef Jerky Outlet,Specialty Stores and/or Se...,www.beefjerkyoutlet.com/syracuse,Mr. John Schemm - (315) 477-9734,"9657 Destiny USA Dr., Space J 211"
Bethany's Cowboy Clothing,Clothing & Apparel,www.syracuseblissbridal.com,Ms. Bethany Smith - (315) 250-8200,98 Sterling Rd.
"Bliss Bridal & Formal Wear, Inc.",Bridal Shops,www.canalcommons.com,Ms. Gina M. Bush - (315) 638-5200,4 W. Genesee St.
"Canal Commons, LLC",Specialty Stores and/or Se...,www.carhartt.com/retailstores,Mr. Anthony Pauldine - (315) 591-4866,193 W. First St.
Carhartt Retail LLC,Clothing & Apparel,www.chinatowne.com,Ms. Lorraine Harkin - (315) 849-0817,1 Destiny USA Dr. - B112
China Towne Furniture and Mattress,Furniture Retail,www.chocolatepizza.com,Mr. Jay Yennock - (315) 488-0419,2320 Milton Ave.
"Chocolate Pizza Co., Inc.",Candy & Confectionery...,www.cliffslocalmarket.com,Mr. Ryan Novak - (315) 673-4098,3774 Lee Mulroy Rd.
Cliff's Local Market ,Convenience Stores & G...,www.cliffslocalmarket.com,Ms. Stacey Davis - (315) 433-5175,6673 Kirville Rd.
Cliff's Local Market,Convenience Stores & G...,www.corcompanies.com,Ms. Stacey Davis - (315) 446-0230,3100 Erie Blvd. E.
"COR Development Company, LLC","Real Estate Development..., Shopping Malls/Shopping Ce..., Hotels & Motels, Property Management &..., Professional Services",www.costco.com,Ms. Catherine Keib Johnson - (315) 663-2100,540 Towne Dr.
Costco Wholesale ,Wholesale & Retail Mem...,www.designspecialistsinc.net,Mr. Michael Swanka - (315) 883-2369,120 Township Blvd.
"Design Specialists, Inc.",Interior Designers,www.destinyusa.com,Ms. Krista  J. Taskey - (315) 479-1551,6716 Joy Rd.
Destiny USA,"Shopping Malls/Shopping Ce..., Entertainment",www.herculescandy.com,Mr. Rob Schoeneck - (315) 466-6000,9090 Destiny USA Dr.
"H.C. Bainbridge, Inc.",Flags & Banners,www.hummelsop.com,Ms. Marilyn Swetland - (315) 475-5313,718 N. Salina St.
Hercules Candy Company,Candy & Confectionery...,www.iicontractfurniture.com,Ms. Terry Andrianos - (315) 463-4339,720 W. Manlius St.
Hummel's Office Plus,"Office Supplies, Office Furniture Retail, Janitorial Supplies, Ink & Toner",www.kingarch.com,Mr. Justin Hummel - (315) 866-3860,6731 Collamer Rd.
Interior Innovations,"Office Equipment & Fur..., Office Furniture Retail",www.medmen.com,Ms. Laura Cueva - (315) 724-1985,1641 E. Genesee St.
King + King Architects LLP,"Architects, Interior Designers",www.purcellspaints.com,"Mr. Kirk Narburgh, AIA, ASLA, LEED AP Bd + C - (315) 682-6180",358 W. Jefferson St.
Medmen,Specialty Stores and/or Se...,www.qpkdesign.com,Mr. Robert Battaglia - (424) 257-2982,1304 Buckley Rd. #106
Northeast Decorating,Specialty Stores and/or Se...,www.raymourflanigan.com,Mr. Bill Newman - (315) 471-9989,3360 Milton Ave.
Purcell's Wallpaper and Paint Company,Paint Retail/Wholesale,www.raymourflanigan.com,Mr. John Purcell - (315) 446-6475,5900 Bridge St.
"QPK Design, LLP","Architects, Landscape Architects, Interior Designers, Engineers Structural, Engineers Geotechnical",www.rightpricecompanies.com,Ms. Eugenia Brieva - (315) 472-7806,"450 S. Salina St., Rm. 500"
Raymour & Flanigan Furniture,Furniture Retail,www.rockyscigars.com,Mr. Guy DeMascole - (315) 446-3444,3430 Erie Blvd. E.
Raymour & Flanigan Furniture,Furniture Retail,www.samraoflorist.com,Mr. Neil Goldberg - (315) 453-2500,PO Box 220
"Right Price Companies, Inc.","Office Supplies, Office Furniture Retail",www.sedgwickbusiness.com,Mr. Darin  L. Price - (315) 701-2380,4726 S. Salina St.
Rocky's News & Cigars,Tobacco,www.sherwin-williams.com,Mr. Mike Glynn - (315) 422-1997,447 N. Salina St.
"Sam Rao Florist, Inc.",Florists Retail,www.speachfamilycandy.com,Mr. Richard  H. Bunce - (315) 488-3164,104 Myron Rd.
"Sedgwick Business Interiors - Syracuse, LLC","Office Furniture Retail, Office Equipment & Fur...",www.stevensinteriors.com,Mr. Douglas Sedgwick - (315) 424-1500,100 W. Court St.
Sherwin-Williams,Paint Retail/Wholesale,www.stickleyaudi.com,Ms. Lisa Wodka - (315) 451-9975,"1020 7th North St., Ste. 120"
Speach Family Candy Shoppe Inc.,Candy & Confectionery...,www.suttoninvestingcorp.com,"Mr. Michael E. Speach, Jr. - (315) 478-3100",2400 Lodi St.
Stevens Office Interiors,"Office Equipment & Fur..., Office Furniture Retail",www.soesyr.com,Mr. Fabricio Morales - (315) 479-5595,6804 Manlius Center Rd.
"Stickley, Audi & Co.",Furniture Retail,www.pyramidmg.com,Ms. Aminy Audi - (315) 637-7770,Towne Center
Sutton Investing Corporation,Warehouses Merchandise,Board of Directors,Mr. Terry  A. McHugh - (315) 458-1300,510 Stewart Dr.
Syracuse Office Environments,Office Furniture Retail,Staff Directory,Mr. Vincent Sweeney - (315) 476-9091,375 Erie Blvd. West
The Pyramid Companies,"Entertainment, Shopping Malls/Shopping Ce...",Partners & Programs,Mr. Stephen J. Congel - (315) 422-7000,Four Clinton Square
