name,tags,website,namephno,add
"Central New York PGA, Inc.",Golf Administrator,www.cny.pga.com,Mr. Alan Seamans - (315) 446-5610,5011 Jamesville Rd.
DICK'S Sporting Goods Open,"Sporting Events, Recreation",www.dsgopen.com,Mr. Landon Easler - (315) 396-6262,"499 S. Warren St., Ste. 517"
"Drumlins, Inc.",Country Clubs,www.drumlins.com,Mrs. Anne Flaherty - (315) 446-4555,800 Nottingham Rd.
Fairmount Glen Miniature Golf,Golf - Miniature,www.fairmountglen.com,Mr. Thomas Ness - (315) 487-0546,210 Onondaga Rd.
Flamingo Bowl,Bowling,www.flamingobowlcny.com,Mr. John  H. Hamlin - (315) 457-7470,7239 Oswego Rd.
Fleet Feet Sports,Sporting Goods Retail...,www.fleetfeetsyracuse.com,Ms. Ellen  K. Griffin - (315) 446-1444,5800 Bridge St.
Great Lakes Athletic Training Facility,Sports Complexes,www.glatf.com,Mr. Gaylord (Guy) King - (315) 952-2250,7 Silk Rd.
Lake Shore Yacht & Countrty Club,"Recreation, Golf Courses",www.lakeshoreycc.com,Mr. Guy Hart - (315) 699-2797,6777 Lakeshore Rd.
"Northeast Decorating & Exhibit Services, Inc.","Trade Show & Conventio..., Party Rentals, Special Events, Tents",www.northeastdecorating.com,Mr. Bill Newman - (315) 471-9989,PO Box 607
Riccelli - Northern LLC,Transportation and/or Ware...,www.riccelli-northern.com,Mr. Richard Riccelli - (315) 598-2141,PO Box 540
Syracuse Crunch Hockey Club,Sporting Events,www.syracusecrunch.com,Mr. Jim Sarosy - (315) 473-4444,War Memorial Arena
Syracuse Hancock International Airport,Transportation and/or Ware...,www.Flysyracuse.com,Ms. Jennifer Sweetland - (315) 454-2265,1000 Col. Eileen Collins Blvd.
Syracuse Mets Baseball Club,Sporting Events,www.syracusemets.com,Mr. Jason Smorol - (315) 474-7833,NBT Bank Stadium
The Oncenter,"Convention Centers, Theaters Professional, Sporting Events",www.oncenter.org,Mr. Matt Hollander - (315) 435-8000,800 S. State St.
The Villages at Turning Stone RV Park,Recreation,www.turningstone.com,Ms. Patty Campbell - (315) 361-7275,5065 State Rt. 365
Watkins Glen International,Sporting Events,www.theglen.com,Mr. Jose Cervantes - (607) 535-3323,2790 County Rt. 16
