name,tags,website,namephno,add
1000 Islands Harbor Hotel,Hotels & Motels,www.1000islandsharborhotel.com,Mr. Todd Buchko - (315) 686-1100,200 Riverside Dr.
AAA Western & Central New York,Travel Agencies,www.aaa.com,Ms. Carol DiOrio - (315) 453-5914,7485 Henry Clay Blvd.
Aloft Syracuse Inner Harbor,Hotels & Motels,www.aloftsyracuseinnerharbor.com,Ms. Vannati Zophy - (315) 422-1700,310 W. Kirkpatrick St.
Beacon Hotel Oswego NY,Hotels & Motels,www.beaconhoteloswegony.com,Mr. Atom Avery - (315) 343-3300,75 W. Bridge St.
Best Western Plus,Hotels & Motels,www.bestwestern.com,Ms. Aubrey Barone - (315) 463-6443,6605 Old Collamer Rd. S.
Best Western Plus Liverpool - Syracuse Inn & Suites,Hotels & Motels,www.bwliverpool.com,Ms. Janelle Hart - (315) 701-4400,136 Transistor Pkwy.
Best Western Syracuse Airport Inn,Hotels & Motels,www.bestwesternsyracuse.com,Mr. Scott Parody - (315) 455-7362,Hancock International Airport
Broadwell Hospitality Companies,Accommodations,www.syrhotel.com/candlewood-suites,Ms. Tracey Hawthorn - (315) 343-5121,26 E. First St.
Candlewood Suites,Hotels & Motels,www.candlewoodsuites.com/northsyracuse,Ms. Nikki Varre - (315) 432-1684,6550 Baptist Way
Candlewood Suites Syracuse Airport,Hotels & Motels,www.syrhotel.com/comfort-inn,Mr. Jason Mock - (315) 454-8999,5414 South Bay Rd.
Comfort Inn Carrier Circle,Hotels & Motels,www.syrcs.com,Mr. Tom Denely - (315) 437-0222,6491 Thompson Rd.
Comfort Suites Cicero - Syracuse North,"Hotels & Motels, Banquets & Conference...",www.corcompanies.com,Ms. Janelle Hart - (315) 752-0150,5875 Carmenica Dr.
"COR Development Company, LLC","Real Estate Development..., Shopping Malls/Shopping Ce..., Hotels & Motels, Property Management &..., Professional Services",www.marriott.com/syrdt,Ms. Catherine Keib Johnson - (315) 663-2100,540 Towne Dr.
Courtyard by Marriott Armory Square,Hotels & Motels,www.marriott.com/syrca,Ms. Julie Martin Barfield - (315) 422-4854,300 W. Fayette St.
Courtyard Syracuse Carrier Circle,Hotels & Motels,www.craftsmaninn.com,Ms. Mildre Gonzalez - (315) 432-0300,6415 Yorktown Cir.
Craftsman Inn,Hotels & Motels,www.cresthillsuitessyracuse.com,Mr. Paul McNeil - (315) 637-8000,7300 E. Genesee St.
CrestHill Suites,Hotels & Motels,www.cpsyracuse.com,Mr. John Tees - (315) 432-5595,6410 New Venture Gear Dr.
Crowne Plaza Hotel & Conference Center,"Hotels & Motels, Conference Centers",www.brewertonhotel.com,Mr. Kyle D. Hares - (315) 479-7000,701 E. Genesee St.
Days Inn Brewerton,Hotels & Motels,www.dellagoresort.com,Ms. Janelle Hart - (315) 676-3222,5552 Bartel Rd.
del Lago Resort & Casino,"Hotels & Motels, Entertainment",www.btitravel.com,Mr. Bradley Zimmer - (315) 946-1839,1133 State Rt. 414
Direct Travel (formerly BTI Travel),"Travel Agencies, Event Planners",www.syracuse.doubletree.com,Ms. Jennifer DeFuria - (315) 472-7737,124 E. Jefferson St.
Doubletree Hotel Syracuse,"Banquets & Conference..., Hotels & Motels",www.embassysuites3.hilton.com/en/hotels/new-york/embassy-suites-by-hilton-syracuse-syrdwes/index.html,Mr. Robert Benetti - (315) 432-0200,6301 State Rte. 298
Econolodge By Choice Hotels DeWitt,Hotels & Motels,www.geneseegrande.com,Mr. Ambu Patel - (315) 446-3300,3400 Erie Blvd. E.
